question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new
1476,express binary literals,convert binary string '01010101111' to integer,"int('01010101111', 2)",4,0,5,51,0,51,0
22676,download a file over HTTP,"download a file `url` over HTTP and save to ""10MB""","response = requests.get(url, stream=True)
with open('10MB', 'wb') as handle:
    for data in tqdm(response.iter_content()):
        handle.write(data)",16,0,9,53,1,51,0
38987,How to merge two Python dictionaries in a single expression?,merge dictionaries form array `dicts` in a single expression,"dict((k, v) for d in dicts for k, v in list(d.items()))",25,0,1,36,0,51,0
1143379,Removing duplicates from list of lists in Python,remove duplicate elements from list 'L',"list(dict((x[0], x) for x in L).values())",419,2,7,36,1,51,0
1207457,Convert a Unicode string to a string,Convert a Unicode string `a` to a 'ascii' string,"a.encode('ascii', 'ignore')",431,2,8,0,0,51,0
1303243,find out if a Python object is a string,check if object `o` is a string,(type(o) is str),442,2,0,24,0,51,0
1447575,Symlinks on windows?,create a symlink directory `D:\\testdirLink` for directory `D:\\testdir` with unicode support using ctypes library,"kdll.CreateSymbolicLinkW('D:\\testdirLink', 'D:\\testdir', 1)",458,3,9,57,1,51,0
1450897,Python: removing characters except digits from string,get digits only from a string `aas30dsa20` using lambda function,""""""""""""".join([x for x in 'aas30dsa20' if x.isdigit()])",462,3,5,31,0,51,0
1514553,declare an array,declare an array `variable`,variable = [],465,3,6,4,0,51,0
1555968,Efficient way to find the largest key in a dictionary with non-zero value,get the largest key whose not associated with value of 0 in dictionary `x`,"(k for k, v in x.items() if v != 0)",473,3,1,50,0,51,0
2397687,What's the easiest way to convert a list of hex byte strings to a list of hex integers?,convert the elements of list `L` from hex byte strings to hex integers,"[int(x, 16) for x in L]",597,6,5,40,0,51,0
3283984,Decode Hex String in Python 3,decode a hex string '4a4b4c' to UTF-8.,bytes.fromhex('4a4b4c').decode('utf-8'),734,10,8,0,0,51,0
3940128,reverse a list,reverse a list `L`,L[::(-1)],852,13,7,62,1,51,0
4642501,How to sort dictionaries by keys in Python,get sorted list of keys of dict `d`,sorted(d),961,15,1,44,0,51,0
4697006,Python: Split string by list of separators,"split a string `a , b; cdf`  using both commas and semicolons as delimeters","re.split('\\s*,\\s*|\\s*;\\s*', 'a , b; cdf')",974,16,8,0,0,51,0
5048841,How to alphabetically sort array of dictionaries on single key?,Sort list `my_list` in alphabetical order based on the values associated with key 'name' of each dictionary in the list,my_list.sort(key=operator.itemgetter('name')),1029,17,1,48,0,51,0
5508352,Indexing numpy array with another numpy array,Get index of numpy array `a` with another numpy array `b`,a[tuple(b)],1075,18,6,1,0,51,0
5558418,list of dicts to/from dict of lists,group a list of dicts `LD` into one dict by key,"print(dict(zip(LD[0], zip(*[list(d.values()) for d in LD]))))",1077,18,1,63,0,51,0
6416131,add new item to dictionary,"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })",1145,20,1,12,0,51,0
8122079,Python: How to check a string for substrings from a list?,check if any element of list `substring_list` are in string `string`,any(substring in string for substring in substring_list),1282,24,0,45,0,51,0
8172861,Python Regex replace,Replace comma with dot in a string `original_string` using regex,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)",1288,24,8,0,0,51,0
