question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new
1476,express binary literals,convert 173 to binary string,bin(173),5,0,5,62,0,62,0
42950,Get Last Day of the Month,Get Last Day of the second month in 2100,"calendar.monthrange(2100, 2)",29,0,2,20,0,62,0
613183,Sort a Python dictionary by value,Sort dictionary `d` by value in ascending order,"sorted(list(d.items()), key=(lambda x: x[1]))",249,0,1,6,0,62,0
743806,Split string into a list,split string `text` by space,text.split(),305,0,8,0,0,62,0
1038824,remove a substring from the end of a string,"remove a substring "".com"" from the end of string `url`","url = re.sub('\\.com$', '', url)",408,1,8,0,0,62,0
1957273,"How do I generate a random string (of length X, a-z only) in Python?",generate a random string of length `x`  containing lower cased ASCII letters,""""""""""""".join(random.choice(string.lowercase) for x in range(X))",529,4,8,0,0,62,0
2553354,How to get a variable name as a string in Python?,"get a dict of variable names `['some', 'list', 'of', 'vars']` as a string and their values","dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])",615,7,1,12,0,62,0
3182716,Python unicode string with UTF-8?,print unicode string '\xd0\xbf\xd1\x80\xd0\xb8' with utf-8,print('\xd0\xbf\xd1\x80\xd0\xb8'.encode('raw_unicode_escape')),713,9,8,0,0,62,0
3328012,How can I tell if a file is a descendant of a given directory?,check if file `filename` is descendant of directory '/the/dir/',"os.path.commonprefix(['/the/dir/', os.path.realpath(filename)]) == '/the/dir/'",747,10,9,62,1,62,0
3486384,Output first 100 characters in a string,output first 100 characters in a string `my_string`,print(my_string[0:100]),774,11,8,0,0,62,0
3931541,Python Check if all of the following items is in a list,"check if all of the following items in list `['a', 'b']` are in a list `['a', 'b', 'c']`","set(['a', 'b']).issubset(['a', 'b', 'c'])",842,12,7,23,1,62,0
4223923,how to change the case of first letter of a string?,change the case of the first letter in string `s`,return s[0].upper() + s[1:],897,14,8,0,0,62,0
5137497,Find current directory and file's directory,find the current directory,os.getcwd(),1039,17,9,64,1,62,0
6612769,"Is there a more elegant way for unpacking keys and values of a dictionary into two lists, without losing consistence?",unpack keys and values of a dictionary `d` into two lists,"keys, values = zip(*list(d.items()))",1162,21,1,41,0,62,0
7633274,"Extracting words from a string, removing punctuation and returning a list with separated words in Python","Get a list of  words from a string `Hello world, my name is...James the 2nd!` removing punctuation","re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')",1246,23,8,53,0,62,0
8425046,The best way to filter a dictionary in Python,Filter dictionary `d` to have items with value greater than 0,"d = {k: v for k, v in list(d.items()) if v > 0}",1330,25,1,8,0,62,0
8898294,Convert UTF-8 with BOM to UTF-8 with no BOM in Python,convert utf-8 with bom string `s` to utf-8 with no bom `u`,u = s.decode('utf-8-sig'),1365,26,8,0,0,62,0
9079540,"how to get around ""Single '}' encountered in format string"" when using .format and formatting in printing","Escape character '}' in string '{0}:<15}}{1}:<15}}{2}:<8}}' while using function `format` with arguments `('1', '2', '3')`","print('{0}:<15}}{1}:<15}}{2}:<8}}'.format('1', '2', '3'))",1388,26,8,0,0,62,0
10487278,Python - How to declare and add items to an array?,Insert item `12` to a list `my_list`,my_list.append(12),1494,29,7,22,1,62,0
11331982,How to remove any URL within a string in Python,remove any url within string `text`,"text = re.sub('^https?:\\/\\/.*[\\r\\n]*', '', text, flags=re.MULTILINE)",1562,31,8,0,0,62,0
11430863,How to find overlapping matches with a regexp?,find overlapping matches from a string `hello` using regex,"re.findall('(?=(\\w\\w))', 'hello')",1580,31,0,5,0,62,0
13598363,How to dynamically select template directory to be used in flask?,Flask set folder 'wherever' as the default template folder,"Flask(__name__, template_folder='wherever')",1760,36,9,28,1,62,0
14043934,time offset,add 1 hour and 2 minutes to time object `t`,"dt = datetime.datetime.combine(datetime.date.today(), t)",1801,37,2,63,0,62,0
14162026,How to get the values from a NumPy array using multiple indices,"get the first row, second column; second row, first column, and first row third column values of numpy array `arr`","arr[[0, 1, 1], [1, 0, 2]]",1808,37,6,42,0,62,0
14850853,How to include third party Python libraries in Google App Engine?,insert directory 'libs' at the 0th index of current directory,"sys.path.insert(0, 'libs')",1866,39,9,55,1,62,0
15043326,getting string between 2 characters in python,get all characters between two `$` characters in string `string`,"re.findall('\\$([^$]*)\\$', string)",1887,39,8,0,0,62,0
17057544,Python - Extract folder path from file path,Get absolute folder path and filename for file `existGDBPath `,os.path.split(os.path.abspath(existGDBPath)),2021,43,9,35,1,62,0
17284947,regex to get all text outside of brackets,Use a regex to get all text in a string `example_str` that is not surrounded by square brackets,"re.findall('(.*?)(?:\\[.*?\\]|$)', example_str)",2049,43,0,27,0,62,0
19365513,How to add an extra row to a pandas dataframe,"Add row `['8/19/2014', 'Jun', 'Fly', '98765']` to dataframe `df`","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']",2193,47,3,62,0,62,0
19546911,How to get a 16bit Unsigned integer in python,Convert integer `number` into an unassigned integer,"struct.unpack('H', struct.pack('h', number))",2202,47,5,58,0,62,0
21212706,Python Convert String Literal to Float,split string `s` into float values and write sum to `total`,"total = sum(float(item) for item in s.split(','))",2301,50,5,42,0,62,0
22093471,pandas Subtract Dataframe with a row from another dataframe,pandas subtract a row from dataframe `df2` from dataframe `df`,"pd.DataFrame(df.values - df2.values, columns=df.columns)",2339,51,3,33,0,62,0
25678689,How does python do string magic?,"append array of strings `['x', 'x', 'x']` into one string",""""""""""""".join(['x', 'x', 'x'])",2427,53,8,0,0,62,0
29903025,Count most frequent 100 words from sentences in Dataframe Pandas,count most frequent 100 words in column 'text' of dataframe `df`,Counter(' '.join(df['text']).split()).most_common(100),2536,56,3,20,0,62,0
