question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,Sort a list of dictionaries `list_to_be_sorted` by the value of the dictionary key `name`,"newlist = sorted(list_to_be_sorted, key=lambda k: k['name'])",41,0,1,38,0,39,0
89228,Calling an external command,"Calling an external command ""some_command < input_file | another_command > output_file""",os.system('some_command < input_file | another_command > output_file'),64,0,9,27,1,39,0
247770,Retrieving python module path,get the path of module `a_module`,print(a_module.__file__),109,0,9,45,1,39,0
275018,remove (chomp) a newline,"remove trailing newline in string ""test string\n""",'test string\n'.rstrip(),127,0,8,0,0,39,0
518021,Getting the length of an array,Getting the length of array `s`,len(s),225,0,6,7,0,39,0
518021,Getting the length of an array,Getting the length of `my_string`,len(my_string),226,0,8,0,0,39,0
575819,Sorting dictionary keys in python,create a list containing keys of dictionary `d` and sort it alphabetically,"sorted(d, key=d.get)",235,0,1,38,0,39,0
587345,Python regular expression matching a multiline block of text,"regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text","re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)",240,0,0,19,0,39,0
761804,Trimming a string,"Trimming a string "" Hello""",' Hello'.strip(),317,0,8,39,0,39,0
1024847,Add key to a dictionary,Add key 'a' to dictionary `data` with value 1,data.update(dict(a=1)),399,1,1,5,0,39,0
2813806,How do you check the presence of many keys in a Python dictinary?,check if key 'stackoverflow' and key 'google' are presented in dictionary `sites`,"set(['stackoverflow', 'google']).issubset(sites)",670,8,1,25,0,39,0
2911754,How to upload binary file with ftplib in Python?,upload binary file `myfile.txt` with ftplib,"ftp.storbinary('STOR myfile.txt', open('myfile.txt', 'rb'))",680,8,9,57,1,39,0
3278850,"Doc, rtf and txt reader in python",read the contents of the file 'file.txt' into `txt`,txt = open('file.txt').read(),732,10,9,24,1,39,0
3501382,Checking whether a variable is an integer,check if `x` is an integer,"isinstance(x, int)",778,11,5,2,0,39,0
4170655,how to convert a datetime string back to datetime object?,convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f',"datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')",889,14,2,18,0,39,0
4289331,Python: Extract numbers from a string,Python: Extract numbers from a string,"[int(s) for s in re.findall('\\b\\d+\\b', ""he33llo 42 I'm a 32 string 30"")]",910,14,5,41,0,39,0
4940032,Search for string in txt file,Search for string 'blabla' in txt file 'example.txt',"f = open('example.txt')
s = mmap.mmap(f.fileno(), 0, access=mmap.ACCESS_READ)
if (s.find('blabla') != (-1)):
    pass",1022,17,0,2,0,39,0
5352546,best way to extract subset of key-value pairs from python dictionary object,"best way to extract subset of key-value pairs with keys matching 'l', 'm', or 'n' from python dictionary object","{k: bigdict[k] for k in list(bigdict.keys()) & {'l', 'm', 'n'}}",1059,18,1,3,0,39,0
6677332,Using %f with strftime() in Python to get microseconds,Using %f with strftime() in Python to get microseconds,datetime.datetime.now().strftime('%H:%M:%S.%f'),1169,21,2,1,0,39,0
6710684,Remove one column for a numpy array,delete the last column of numpy array `a` and assign resulting array to `b`,"b = np.delete(a, -1, 1)",1172,21,6,2,0,39,0
8751653,How can I convert a binary to a float number,convert string representation `s2` of binary string rep of integer to floating point number,"struct.unpack('d', struct.pack('Q', int(s2, 0)))[0]",1359,26,5,35,0,39,0
10618586,hex string to character in python,Convert a hex string `437c2123 ` according to ascii value.,"""""""437c2123"""""".decode('hex')",1510,30,5,47,0,39,0
11073609,How to group DataFrame by a period of time?,group dataframe `df` based on minute interval,df.groupby(df.index.map(lambda t: t.minute)),1547,30,3,38,0,39,0
11280536,How can I add the corresponding elements of several lists of numbers?,sum elements at the same index of each list in list `lists`,"map(sum, zip(*lists))",1558,31,7,60,1,39,0
12141150,"from list of integers, get number closest to a given value",get number in list `myList` closest in value to number `myNumber`,"min(myList, key=lambda x: abs(x - myNumber))",1625,32,7,44,1,39,0
13079852,How do I stack two DataFrames next to each other in Pandas?,stack two dataframes next to each other in pandas,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)",1698,34,3,17,0,39,0
14661051,Convert Python dictionary to JSON array,convert python dictionary `your_data` to json array,"json.dumps(your_data, ensure_ascii=False)",1846,38,1,27,0,39,0
16228248,Python: simplest way to get list of values from dict?,Retrieve list of values from dictionary 'd',list(d.values()),1977,41,1,9,0,39,0
16233593,How to strip comma in Python string,replace comma in string `s` with empty string '',"s = s.replace(',', '')",1978,42,8,0,0,39,0
17812978,How to plot two columns of a pandas data frame using points?,How to plot two columns of a pandas data frame using points?,"df.plot(x='col_name_1', y='col_name_2', style='o')",2084,44,3,63,0,39,0
18711384,how to split a unicode string into list,split a `utf-8` encoded string `stru` into a list of characters,list(stru.decode('utf-8')),2156,46,8,0,0,39,0
19068269,how to convert a string date into datetime format in python?,convert a string into datetime using the format '%Y-%m-%d %H:%M:%S.%f',"datetime.datetime.strptime(string_date, '%Y-%m-%d %H:%M:%S.%f')",2177,47,2,41,0,39,0
21778118,Counting the number of non-NaN elements in a numpy ndarray matrix in Python,count the number of non-nan elements in a numpy ndarray matrix `data`,np.count_nonzero(~np.isnan(data)),2317,50,6,59,0,39,0
22086116,how do you filter pandas dataframes by multiple columns,create dataframe `males` containing data of dataframe `df` where column `Gender` is equal to 'Male' and column `Year` is equal to 2014,males = df[(df[Gender] == 'Male') & (df[Year] == 2014)],2338,51,3,2,0,39,0
24958010,get key by value in dictionary with same value in python?,get keys with same value in dictionary `d`,"print([key for key, value in d.items() if value == 1])",2413,53,1,23,0,39,0
40094588,How to get a list of matchable characters from a regex class,get a list of characters in string `x` matching regex pattern `pattern`,"print(re.findall(pattern, x))",2785,62,0,12,0,39,0
40924332,Splitting a list in a Pandas cell into multiple columns,split a list in first column  into multiple columns keeping other columns as well in pandas data frame,"pd.concat([df[0].apply(pd.Series), df[1]], axis=1)",2819,63,3,4,0,39,0
42098487,How to split 1D array into 2D array in NumPy by splitting the array at the last element?,split 1d array `a` into 2d array at the last element,"np.split(a, [-1])",2858,64,6,49,0,39,0
42352887,Finding The Biggest Key In A Python Dictionary,get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)",2866,64,1,62,0,39,0
