question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new
53513,check if a list is empty,check if list `li` is empty,"if (len(li) == 0):
    pass",36,0,7,25,1,14,0
275018,remove (chomp) a newline,remove newline in string `s`,s.strip(),124,0,8,0,0,14,0
415511,get current time,get current time,datetime.datetime.time(datetime.datetime.now()),188,0,2,3,0,14,0
740287,How to check if one of the following items is in a list?,check if any item from list `b` is in list `a`,print(any(x in a for x in b)),301,0,7,17,1,14,0
1010961,String Slicing Python,"remove last comma character ',' in string `s`",""""""""""""".join(s.rsplit(',', 1))",396,1,8,0,0,14,0
1015142,Running Python code contained in a string,"run the code contained in string ""print('Hello')""","eval(""print('Hello')"")",398,1,8,0,0,14,0
1185524,trim whitespace (including tabs),trim whitespace (including tabs) in `s` on the right side,s = s.rstrip(),423,2,8,0,0,14,0
1299855,upload file with Python Mechanize,upload file with Python Mechanize,"br.form.add_file(open(filename), 'text/plain', filename)",439,2,9,45,1,14,0
2040038,Sorting datetime objects while ignoring the year?,sort datetime objects `birthdays` by `month` and `day`,"birthdays.sort(key=lambda d: (d.month, d.day))",535,5,2,18,0,14,0
2497027,read a binary file (python),read a binary file 'test/test.pdf',"f = open('test/test.pdf', 'rb')",607,6,9,51,1,14,0
2508861,Python: Convert a string to an integer,Python: Convert a string to an integer,int('  23  '),608,6,5,5,0,14,0
2636755,How to convert hex string to integer in Python?,convert a hex string `x` to string,"y = str(int(x, 16))",640,7,8,0,0,14,0
3294889,Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (letter, number) in list(d.items()):
    pass",738,10,1,56,0,14,0
4131123,Finding the most frequent character in a string,print letter that appears most frequently in string `s`,print(collections.Counter(s).most_common(1)[0]),883,13,0,8,0,14,0
4324790,Removing control characters from a string in python,removing control characters from a string `s`,return ''.join(ch for ch in s if unicodedata.category(ch)[0] != 'C'),919,14,8,0,0,14,0
4710067,Deleting a specific line in a file (python),Open a file `yourfile.txt` in write mode,"f = open('yourfile.txt', 'w')",982,16,9,47,1,14,0
5137497,Find current directory and file's directory,get the directory name of `path`,os.path.dirname(path),1040,17,9,32,1,14,0
5501641,How to create a list with the characters of a string?,create a list with the characters of a string `5+6`,list('5+6'),1071,18,5,46,0,14,0
5503925,How do I use a dictionary to update fields in Django models?,update fields in Django model `Book` with arguments in dictionary `d` where primary key is equal to `pk`,Book.objects.filter(pk=pk).update(**d),1072,18,1,49,0,14,0
5775719,How do I find the first letter of each word?,find the first letter of each element in string `input`,output = ''.join(item[0].upper() for item in input.split()),1088,19,0,20,0,14,0
7999935,Python datetime to string without microsecond component,Formate current date and time to a string using pattern '%Y-%m-%d %H:%M:%S',datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S'),1275,23,2,10,0,14,0
8691311,Python: How to write multiple strings in one line?,"write multiple strings `line1`, `line2` and `line3` in one line in a file `target`","target.write('%r\n%r\n%r\n' % (line1, line2, line3))",1351,25,8,0,0,14,0
9072844,How can I check if a string contains ANY letters from the alphabet?,check if string `the_string` contains any upper or lower-case ASCII letters,"re.search('[a-zA-Z]', the_string)",1387,26,0,3,0,14,0
11351874,Converting a dict into a list,convert dictionary `dict` into a flat list,print([y for x in list(dict.items()) for y in x]),1567,31,1,21,0,14,0
11833266,How do I read the first line of a string?,read the first line of a string `my_string`,my_string.splitlines()[0],1609,32,8,0,0,14,0
13331419,Prepend the same string to all items in a list,prepend string 'hello' to all items in list 'a',['hello{0}'.format(i) for i in a],1730,35,7,50,1,14,0
13411544,Delete column from pandas DataFrame,"delete 1st, 2nd and 4th columns from dataframe `df`","df.drop(df.columns[[0, 1, 3]], axis=1)",1742,35,3,31,0,14,0
13840379,How can I multiply all items in a list together with Python?,"multiply all items in a list `[1, 2, 3, 4, 5, 6]` together","from functools import reduce
reduce(lambda x, y: x * y, [1, 2, 3, 4, 5, 6])",1781,36,7,37,1,14,0
14111705,Displaying a grayscale Image,display a grayscale image from array of pixels `imageArray`,"imshow(imageArray, cmap='Greys_r')",1806,37,6,23,0,14,0
14766194,testing whether a Numpy array contains a given row,"Check whether a numpy array `a` contains a given row `[1, 2]`","any(np.equal(a, [1, 2]).all(1))",1864,39,6,62,0,14,0
