question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new
187455,Counting array elements in Python,count the number of elements in array `myArray`,len(myArray),85,0,6,20,0,2,0
354038,check if a string is a number,check if string `b` is a number,b.isdigit(),152,0,0,18,0,2,0
642154,convert strings into integers,function to convert strings into integers,int(),260,0,5,11,0,2,0
663171,substring a string,get a new string including all but the last character of string `x`,x[:(-2)],264,0,8,0,0,2,0
753052,Strip HTML from strings in Python,strip html from strings,"re.sub('<[^<]+?>', '', text)",309,0,8,0,0,2,0
899103,Writing a list to a file with Python,writing items in list `itemlist` to file `outfile`,outfile.write('\n'.join(itemlist)),353,0,9,48,1,2,0
1400608,empty a list,empty a list `alist`,alist[:] = [],454,2,7,38,1,2,0
2151517,Create Union of All Values Contained in Multiple Lists,get the union of values in list of lists `result_list`,return list(set(itertools.chain(*result_list))),558,5,7,41,1,2,0
3207219,list all files of a directory,list all files of a directory `mypath`,"onlyfiles = [f for f in listdir(mypath) if isfile(join(mypath, f))]",717,9,9,38,1,2,0
3475251,Split a string by a delimiter in python,Split a string by a delimiter in python,[x.strip() for x in '2.MATCHES $$TEXT$$ STRING'.split('$$TEXT$$')],772,11,8,0,0,2,0
3559559,How to delete a character from a string using python?,"Delete character ""M"" from a string `s` using python","s = s.replace('M', '')",790,11,8,0,0,2,0
3877491,deleting rows in numpy array,Delete third row in a numpy array `x`,"x = numpy.delete(x, 2, axis=1)",828,12,6,27,0,2,0
4174941,sort a list of lists by a specific index of the inner list,sort a list of lists `L` by index 2 of the inner list,"sorted(L, key=itemgetter(2))",894,14,7,34,1,2,0
4706499,append to a file,"append line ""appended text"" to file ""test.txt""","with open('test.txt', 'a') as myfile:
    myfile.write('appended text')",980,16,9,19,1,2,0
5607551,How to urlencode a querystring in Python?,urlencode a querystring 'string_of_characters_like_these:$#@=?%^Q^$' in python 2,urllib.parse.quote_plus('string_of_characters_like_these:$#@=?%^Q^$'),1080,18,8,0,0,2,0
6740865,Convert Unicode to UTF-8 Python,print a unicode string `text`,print(text.encode('windows-1252')),1176,21,8,0,0,2,0
8177079,take the content of a list and append it to another list,append list `list1` to `list2`,list2.extend(list1),1290,24,7,61,1,2,0
