question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
89228,Calling an external command,"Calling an external command ""echo Hello World""","return_code = subprocess.call('echo Hello World', shell=True)",63,0,9,14,1
120656,Directory listing,"list all files in directory "".""","for (dirname, dirnames, filenames) in os.walk('.'):
    for subdirname in dirnames:
        print(os.path.join(dirname, subdirname))
    for filename in filenames:
        pass",71,0,9,14,1
179369,How do I abort the execution of a Python script?,abort the execution of a python script,sys.exit(),82,0,4,14,1
444058,python - readable list of objects,display attribute `attr` for each object `obj` in list `my_list_of_objs`,print([obj.attr for obj in my_list_of_objs]),197,0,7,14,1
674764,string find,find the index of sub string 's' in string `str` starting from index 16,"str.find('s', 16)",280,0,0,14,0
674764,string find,find the index of sub string 's' in string `str` starting from index 11,"str.find('s', 11)",285,0,0,14,0
674764,string find,find the index of sub string 'g' in string `str`,str.find('g'),286,0,0,14,0
674764,string find,find the index of sub string 'Aloha' in `x`,x.find('Aloha'),287,0,0,14,0
1683775,Sort a multidimensional list by a variable number of keys,sort a multidimensional list `a` by second and third column,"a.sort(key=operator.itemgetter(2, 3))",486,3,7,14,1
2186656,How can I remove all instances of an element from a list in Python?,"remove all instances of `[1, 1]` from a list `a`","[x for x in a if x != [1, 1]]",568,5,7,14,1
5826427,Can a python script execute a function inside a bash script?,Can a python script execute a function inside a bash script?,"subprocess.Popen(['bash', '-c', '. foo.sh; go'])",1092,19,4,14,1
5882405,Get date from ISO week number in Python,convert string '2011221' into a DateTime object using format '%Y%W%w',"datetime.strptime('2011221', '%Y%W%w')",1106,19,2,14,0
8134602,psycopg2: insert multiple rows with one query,"execute sql query 'INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)' with all parameters in list `tup`","cur.executemany('INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)', tup)",1283,24,7,14,1
8214932,How to check if a value exists in a dictionary (python),check if string `one` exists in the values of dictionary `d`,'one' in list(d.values()),1298,24,1,14,0
9304408,How to add an integer to each element in a list?,Add 1 to each integer value in list `my_list`,new_list = [(x + 1) for x in my_list],1403,27,7,14,1
9396706,How can I use a string with the same name of an object in Python to access the object itself?,get the attribute `x` from object `your_obj`,"getattr(your_obj, x)",1411,27,4,14,1
10078470,Sort numpy matrix row values in ascending order,sort array `arr` in ascending order by values of the 3rd column,"arr[arr[:, (2)].argsort()]",1467,28,6,14,0
10857924,Remove NULL columns in a dataframe Pandas?,remove null columns in a dataframe `df`,"df = df.dropna(axis=1, how='all')",1528,30,3,14,0
11406091,Selecting Element followed by text with Selenium WebDriver,"Selecting Element ""//li/label/input"" followed by text ""polishpottery"" with Selenium WebDriver `driver`","driver.find_element_by_xpath(""//li/label/input[contains(..,'polishpottery')]"")",1577,31,4,14,1
