question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,Sort a list of dictionaries `list_to_be_sorted` by the value of the dictionary key `name`,"newlist = sorted(list_to_be_sorted, key=lambda k: k['name'])",41,0,1,38,0
546321,calculate the date six months from the current date,calculate the date six months from the current date,print((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat()),231,0,2,38,0
575819,Sorting dictionary keys in python,create a list containing keys of dictionary `d` and sort it alphabetically,"sorted(d, key=d.get)",235,0,1,38,0
638360,Python - How to calculate equal parts of two dictionaries?,get set intersection between dictionaries `d1` and `d2`,"dict((x, set(y) & set(d1.get(x, ()))) for x, y in d2.items())",256,0,1,38,0
988228,Convert a String representation of a Dictionary to a dictionary?,"build a dict of key:value pairs from a string representation of a dict, `{'muffin' : 'lolz', 'foo' : 'kitty'}`","ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")",394,1,1,38,0
1400608,empty a list,empty a list `alist`,alist[:] = [],454,2,7,38,1
1892339,How to make a window jump to the front?,make a window `root` jump to the front,"root.attributes('-topmost', True)",521,4,4,38,1
2173087,How to create nested lists in python?,"Create 3d array of zeroes of size `(3,3,3)`","numpy.zeros((3, 3, 3))",565,5,6,38,0
2375335,"In Django, how do I clear a sessionkey?",clear session key 'mykey',del request.session['mykey'],594,6,4,38,1
2742784,Python: How to round 123 to 100 instead of 100.0?,round 123 to 100,"int(round(123, -2))",648,7,5,38,0
3108285,"In Python script, how do I set PYTHONPATH?",set pythonpath in python script.,sys.path.append('/path/to/whatever'),706,9,9,38,1
3207219,list all files of a directory,list all files of a directory `mypath`,"onlyfiles = [f for f in listdir(mypath) if isfile(join(mypath, f))]",717,9,9,38,1
3820312,Python: Write a list of tuples to a file,create a file 'filename' with each tuple in the list `mylist` written to a line,"open('filename', 'w').write('\n'.join('%s %s' % x for x in mylist))",820,12,9,38,1
4152376,How to get the n next values of a generator in a list (python),get list of n next values of a generator `it`,"list(itertools.islice(it, 0, n, 1))",887,14,7,38,1
4530069,"Python: How to get a value of datetime.today() that is ""timezone aware""?",get a value of datetime.today() in the UTC time zone,datetime.now(pytz.utc),945,15,2,38,0
4906977,Access environment variables,get all environment variables,os.environ,1010,17,4,38,1
5137497,Find current directory and file's directory,get the canonical path of file `path`,os.path.realpath(path),1035,17,9,38,1
7011291,how to get a single result from a SQLite query in python?,how to get a single result from a SQLite query in python?,cursor.fetchone()[0],1192,21,4,38,1
7142227,How do I sort a zipped list in Python?,How do I sort a zipped list in Python?,zipped.sort(key=lambda t: t[1]),1200,22,7,38,1
