question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
36139,How do I sort a list of strings in Python?,sort list `mylist` alphabetically,mylist.sort(key=lambda x: x.lower()),23,0,7,21,1
364621,get item's position in a list,get the position of item 1 in `testlist`,"[i for (i, x) in enumerate(testlist) if (x == 1)]",166,0,7,21,1
498106,How do I compile a Visual Studio project from the command-line?,compile Visual Studio project `project.sln` from the command line through python,os.system('msbuild project.sln /p:Configuration=Debug'),211,0,4,21,1
1197600,Matching blank lines with regular expressions,match blank lines in `s` with regular expressions,"re.split('\n\\s*\n', s)",429,2,0,21,0
2133571,Most Pythonic way to concatenate strings,Concat a list of strings `lst` using string formatting,""""""""""""".join(lst)",555,5,7,21,1
2300756,Get the nth item of a generator in Python,get the 5th item of a generator,"next(itertools.islice(range(10), 5, 5 + 1))",584,6,7,21,1
2407398,merge lists into a list of tuples,merge lists `a` and `a` into a list of tuples,"list(zip(a, b))",600,6,7,21,1
2424412,What is the easiest way to convert list with str into list with int?,"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])",603,6,7,21,1
2597932,"how to change [1,2,3,4] to '1234' using python","join list of numbers `[1,2,3,4] ` to string of numbers.",""""""""""""".join([1, 2, 3, 4])",624,7,7,21,1
2972212,Creating an empty list,Creating an empty list `l`,l = list(),688,8,7,21,1
3277503,read a file line by line into a list,read file 'filename' line by line into a list `lines`,lines = [line.rstrip('\n') for line in open('filename')],729,9,9,21,1
3505831,in python how do I convert a single digit number into a double digits string?,pads string '5' on the left with 1 zero,print('{0}'.format('5'.zfill(2))),780,11,5,21,0
3608411,Python: How can I find all files with a particular extension?,find all files with extension '.c' in directory `folder`,results += [each for each in os.listdir(folder) if each.endswith('.c')],795,11,9,21,1
4231345,Zip and apply a list of functions over a list of values in Python,apply a list of functions named 'functions' over a list of values named 'values',"[x(y) for x, y in zip(functions, values)]",899,14,7,21,1
