question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
587345,Python regular expression matching a multiline block of text,"regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text","re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)",240,0,0,19,0
627435,remove an element from a list by index,remove the element in list `a` with index 1,a.pop(1),254,0,7,19,1
843277,check if a variable exists,check if a global variable `myVar` exists,('myVar' in globals()),337,0,4,19,1
861190,Ordering a list of dictionaries in python,ordering a list of dictionaries `mylist` by elements 'weight' and 'factor',"mylist.sort(key=lambda d: (d['weight'], d['factor']))",347,0,1,19,0
903853,How do you extract a column from a multi-dimensional array?,extract first column from a multi-dimensional array `a`,[row[0] for row in a],360,0,6,19,0
2153444,Python: Finding average of a nested list,Find average of a nested list `a`,a = [(sum(x) / len(x)) for x in zip(*a)],561,5,7,19,1
2407398,merge lists into a list of tuples,merge lists `list_a` and `list_b` into a list of tuples,"zip(list_a, list_b)",599,6,7,19,1
2803852,Python date string to date object,convert date string '24052010' to date object in format '%d%m%Y',"datetime.datetime.strptime('24052010', '%d%m%Y').date()",667,8,2,19,0
3040904,Save JSON outputed from a URL to a file,save json output from a url ‘http://search.twitter.com/search.json?q=hi’ to file ‘hi.json’ in Python 2,"urllib.request.urlretrieve('http://search.twitter.com/search.json?q=hi', 'hi.json')",695,9,4,19,1
3523048,Add another tuple to a tuple,Add a tuple with value `another_choice` to a tuple `my_choices`,"final_choices = ((another_choice,) + my_choices)",787,11,7,19,1
4383571,Importing files from different folder,Importing file `file` from folder '/path/to/application/app/folder',"sys.path.insert(0, '/path/to/application/app/folder')
import file",928,15,9,19,1
4668619,Django database query: How to filter objects by date range?,filter objects month wise in django model `Sample` for year `2011`,"Sample.objects.filter(date__year='2011', date__month='01')",967,16,2,19,0
4706499,append to a file,"append line ""appended text"" to file ""test.txt""","with open('test.txt', 'a') as myfile:
    myfile.write('appended text')",980,16,9,19,1
5373474,Multiple positional arguments with Python and argparse,specify multiple positional arguments with argparse,"parser.add_argument('input', nargs='+')",1063,18,4,19,1
5744980,Taking the results of a bash command and using it in python,"Taking the results of a bash command ""awk '{print $10, $11}' test.txt > test2.txt""","os.system(""awk '{print $10, $11}' test.txt > test2.txt"")",1086,19,9,19,1
7668141,Pycurl keeps printing in terminal,Make function `WRITEFUNCTION` output nothing in curl `p`,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)",1250,23,4,19,1
8305518,switching keys and values in a dictionary in python,switch keys and values in a dictionary `my_dict`,"dict((v, k) for k, v in my_dict.items())",1317,25,1,19,0
9561243,How to check if something exists in a postgresql database using django?,Django check if an object with criteria `name` equal to 'name' and criteria `title` equal to 'title' exists in model `Entry`,"Entry.objects.filter(name='name', title='title').exists()",1426,27,4,19,1
11697709,Comparing two lists in Python,list duplicated elements in two lists `listA` and `listB`,list(set(listA) & set(listB)),1596,32,7,19,1
11760095,convert binary string to numpy array,convert binary string to numpy array,"np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='>f4')",1602,32,6,19,0
13078751,Merge Columns within a DataFrame that have the Same Name,Get pandas GroupBy object with sum over the rows with same column names within  dataframe `df`,"df.groupby(df.columns, axis=1).sum()",1697,34,3,19,0
13368723,Python split a list into subsets based on pattern,split list `mylist` into a list of lists whose elements have the same first five characters,"[list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]",1735,35,7,19,1
13550423,Python printing without commas,concatenate items of list `l` with a space ' ',"print(' '.join(map(str, l)))",1754,36,7,19,1
15286401,Print multiple arguments in python,print multiple arguments 'name' and 'score'.,"print('Total score for {} is {}'.format(name, score))",1907,40,4,19,1
