question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
317413,Get Element value with minidom with Python,get value of first child of xml node `name`,name[0].firstChild.nodeValue,142,0,4,17,1
348196,Creating a list of objects in Python,Create list `instancelist` containing 29 objects of type MyClass,instancelist = [MyClass() for i in range(29)],149,0,7,17,1
740287,How to check if one of the following items is in a list?,check if any item from list `b` is in list `a`,print(any(x in a for x in b)),301,0,7,17,1
852055,Build a GQL query (for Google App Engine) that has a condition on ReferenceProperty,Google App Engine execute GQL query 'SELECT * FROM Schedule WHERE station = $1' with parameter `foo.key()`,"db.GqlQuery('SELECT * FROM Schedule WHERE station = $1', foo.key())",346,0,4,17,1
930397,Getting the last element of a list,Getting the last element of list `some_list`,some_list[(-1)],364,0,7,17,1
1666700,How to count the number of times something occurs inside a certain string?,count number of times string 'brown' occurred in string 'The big brown fox is brown',"""""""The big brown fox is brown"""""".count('brown')",484,3,0,17,0
1780174,Split dictionary of lists into list of dictionaries,Split dictionary of lists into list of dictionaries,"map(dict, zip(*[[(k, v) for v in value] for k, value in list(d.items())]))",504,4,1,17,0
2052390,Manually raising (throwing) an exception,"throw an assertion error with message ""Unexpected value of 'distance'!"", distance","raise AssertionError(""Unexpected value of 'distance'!"", distance)",541,5,4,17,1
2597099,Sorting numbers in string format with Python,Sort list `keys` based on its elements' dot-seperated numbers,"keys.sort(key=lambda x: map(int, x.split('.')))",622,7,7,17,1
2744795,Background color for Tk in Python,Change background color in Tkinter,root.configure(background='black'),649,7,4,17,1
2769061,How to erase the file contents of text file in Python?,How to erase the file contents of text file in Python?,"open('file.txt', 'w').close()",657,8,9,17,1
3355822,python http request with token,request page 'https://www.mysite.com/' with credentials of username 'username' and password 'pwd',"requests.get('https://www.mysite.com/', auth=('username', 'pwd'))",750,10,4,17,1
3501382,Checking whether a variable is an integer,check if `x` is an integer,(type(x) == int),779,11,5,17,0
3925465,Repeating elements in list comprehension,get list of duplicated elements in range of 3,"[y for x in range(3) for y in [x, x]]",839,12,7,17,1
4172131,Create random list of integers in Python,create a random list of integers,[int(1000 * random.random()) for i in range(10000)],890,14,7,17,1
4741537,Append elements of a set to a list in Python,append elements of a set `b` to a list `a`,a.extend(b),984,16,7,17,1
5137497,Find current directory and file's directory,find the current directory,os.path.realpath(__file__),1041,17,9,17,1
7287996,Python: Get relative path from comparing two absolute paths,get relative path of path '/usr/var' regarding path '/usr/var/log/',"print(os.path.relpath('/usr/var/log/', '/usr/var'))",1222,22,9,17,1
7522533,How can I turn a string into a list in Python?,Convert a string into a list,list('hello'),1239,23,8,17,0
8528178,List of zeros in python,create a list `listofzeros` of `n` zeros,listofzeros = [0] * n,1336,25,7,17,1
8938449,How to extract data from matplotlib plot,Get data from matplotlib plot,gca().get_lines()[n].get_xydata(),1376,26,4,17,1
9621388,(Django) how to get month name?,get month name from a datetime object `today`,today.strftime('%B'),1435,28,2,17,0
10194713,Sorting a defaultdict by value in python,Sort dictionary `u` in ascending order based on second elements of its values,"sorted(list(u.items()), key=lambda v: v[1])",1472,29,1,17,0
10675054,How to import a module in Python with importlib.import_module,import a nested module `c.py` within `b` within `a` with importlib,"importlib.import_module('.c', 'a.b')",1517,30,4,17,1
13079852,How do I stack two DataFrames next to each other in Pandas?,stack two dataframes next to each other in pandas,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)",1698,34,3,17,0
14694482,Converting html to text with Python,convert a beautiful soup html `soup` to text,print(soup.get_text()),1849,38,4,17,1
15856127,Finding the sum of a nested list of ints,sum all elements of nested list `L`,"sum(sum(i) if isinstance(i, list) else i for i in L)",1951,41,7,17,1
16883447,"How to read a ""C source, ISO-8859 text""",read file 'myfile' using encoding 'iso-8859-1',"codecs.open('myfile', 'r', 'iso-8859-1').read()",2012,42,9,17,1
17555218,Python - How to sort a list of lists by the fourth element in each list?,Sort lists in the list `unsorted_list` by the element at index 3 of each list,unsorted_list.sort(key=lambda x: x[3]),2066,44,7,17,1
