question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
89228,Calling an external command,"Calling an external command ""ls""","p = subprocess.Popen('ls', shell=True, stdout=subprocess.PIPE, stderr=subprocess.STDOUT)
for line in p.stdout.readlines():
    print(line, end=' ')
retval = p.wait()",59,0,9,27,1
89228,Calling an external command,"Calling an external command ""some_command < input_file | another_command > output_file""",os.system('some_command < input_file | another_command > output_file'),64,0,9,27,1
273192,check if a directory exists and create it if necessary,check if a directory `path` exists and create it if necessary,"try:
    os.makedirs(path)
except OSError:
    if (not os.path.isdir(path)):
        raise",117,0,9,27,1
613183,Sort a Python dictionary by value,Sort dictionary `x` by value in ascending order,"sorted(list(x.items()), key=operator.itemgetter(1))",248,0,1,27,0
1400608,empty a list,empty a list `lst`,lst[:] = [],455,2,7,27,1
3743222,How do I convert datetime to date (in Python)?,convert datetime object to date object in python,datetime.datetime.now().date(),809,12,2,27,0
3817529,syntax for creating a dictionary into another dictionary in python,"create a dictionary `{'spam': 5, 'ham': 6}` into another dictionary `d` field 'dict3'","d['dict3'] = {'spam': 5, 'ham': 6}",819,12,1,27,0
3877491,deleting rows in numpy array,Delete third row in a numpy array `x`,"x = numpy.delete(x, 2, axis=1)",828,12,6,27,0
3940128,reverse a list,reverse a list `array`,list(reversed(array)),850,13,7,27,1
4444923,Get Filename Without Extension in Python,get filename without extension from file `filename`,os.path.splitext(filename)[0],931,15,9,27,1
4476373,Simple URL GET/POST function,post request url `url` with parameters `payload`,"r = requests.post(url, data=payload)",933,15,4,27,1
4476373,Simple URL GET/POST,make an HTTP post request with data `post_data`,"post_response = requests.post(url='http://httpbin.org/post', json=post_data)",934,15,4,27,1
4588628,Find indices of elements equal to zero from numpy array,Find indices of elements equal to zero from numpy array `x`,numpy.where((x == 0))[0],952,15,6,27,0
5618878,convert list to string,concatenating values in `list1` to a string,str1 = ''.join((str(e) for e in list1)),1084,19,7,27,1
5971312,How to set environment variables in Python,Get a environment variable `DEBUSSY`,print(os.environ['DEBUSSY']),1114,19,4,27,1
6376886,What is the best way to create a string array in python?,create list of 'size' empty strings,strs = ['' for x in range(size)],1139,20,7,27,1
6561653,how to get the index of dictionary with the highest value in a list of dictionary,Get an item from a list of dictionary `lst` which has maximum value in the key `score` using lambda function,"max(lst, key=lambda x: x['score'])",1158,20,1,27,0
8569201,Get the string within brackets in Python,find the string matches within parenthesis from a string `s` using regex,"m = re.search('\\[(\\w+)\\]', s)",1340,25,0,27,0
9210525,convert hex to decimal,"convert hex string ""0xff"" to decimal","int('0xff', 16)",1397,27,5,27,0
