question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
329886,"In Python, is there a concise way to use a list comprehension with multiple iterators?",Get a list of tuples with multiple iterators using list comprehension,"[(i, j) for i in range(1, 3) for j in range(1, 5)]",148,0,7,18,1
354038,check if a string is a number,check if string `b` is a number,b.isdigit(),152,0,0,18,0
748028,How to get output of exe in python script?,How to get output of exe in python script?,"output = subprocess.Popen(['mycmd', 'myarg'], stdout=PIPE).communicate()[0]",307,0,4,18,1
983855,Python JSON encoding,Python JSON encoding,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})",393,1,4,18,1
1747817,Create a dictionary with list comprehension,Create a dictionary `d` from list of key value pairs `iterable`,"d = {k: v for (k, v) in iterable}",496,4,1,18,0
2040038,Sorting datetime objects while ignoring the year?,sort datetime objects `birthdays` by `month` and `day`,"birthdays.sort(key=lambda d: (d.month, d.day))",535,5,2,18,0
2416823,How to get the content of a Html page in Python,Get all the texts without tags from beautiful soup object `soup`,""""""""""""".join(soup.findAll(text=True))",601,6,4,18,1
3097866,Access an arbitrary element in a dictionary in Python,access an arbitrary value from dictionary `dict`,next(iter(list(dict.values()))),704,9,1,18,0
3348825,How to round integers in python,round 1123.456789 to be an integer,"print(round(1123.456789, -1))",749,10,5,18,0
4029436,Subtracting the current and previous item in a list,create a list containing the subtraction of each item in list `L` from the item prior to it,"[(y - x) for x, y in zip(L, L[1:])]",871,13,7,18,1
4170655,how to convert a datetime string back to datetime object?,convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f',"datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')",889,14,2,18,0
4552380,How to get current date and time from DB using SQLAlchemy,SQLAlchemy select records of columns of table `my_table` in addition to current date column,"print(select([my_table, func.current_date()]).execute())",946,15,4,18,1
4641765,Add to integers in a list,insert 77 to index 2 of list `x`,"x.insert(2, 77)",959,15,7,18,1
4880960,Sum of all values in a Python dict,Sum of all values in a Python dict,sum(d.values()),1005,17,1,18,0
5061582,Setting stacksize in a python script,Setting stacksize in a python script,os.system('ulimit -s unlimited; some_executable'),1030,17,4,18,1
6429638,How to split a string into integers in Python?,split a string `s` into integers,l = (int(x) for x in s.split()),1148,20,5,18,0
8171751,How do I convert tuple of tuples to list in one line (pythonic)?,"convert tuple of tuples `(('aa',), ('bb',), ('cc',))` to list in one line","map(lambda a: a[0], (('aa',), ('bb',), ('cc',)))",1287,24,7,18,1
11303225,How to remove multiple indexes from a list at the same time?,remove multiple values from a list `my_list` at the same time with index starting at `2` and ending just before `6`.,del my_list[2:6],1560,31,7,18,1
13156395,Python load json file with UTF-8 BOM header,load json file 'sample.json' with utf-8 bom header,json.loads(open('sample.json').read().decode('utf-8-sig')),1708,35,4,18,1
13496087,Python: How to generate a 12-digit random number?,generate a random 12-digit number,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))",1750,36,5,18,0
13891559,Is there a more pythonic way of exploding a list over a function's arguments?,unpack elements of list `i` as arguments into function `foo`,foo(*i),1785,37,7,18,1
14406214,Moving x-axis to the top of a plot in matplotlib,move an x-axis label to the top of a plot `ax` in matplotlib,ax.xaxis.set_label_position('top'),1828,38,4,18,1
14764126,"How to make a python script which can logoff, shutdown, and restart a computer?",shutdown and restart a computer running windows from script,"subprocess.call(['shutdown', '/r'])",1860,38,4,18,1
14961014,Removing items from unnamed lists in Python,Remove the string value `item` from a list of strings `my_sequence`,[item for item in my_sequence if item != 'item'],1879,39,8,18,0
16249440,Changing file permission in python,changing permission of file `path` to `stat.S_IRUSR | stat.S_IRGRP | stat.S_IROTH`,"os.chmod(path, stat.S_IRUSR | stat.S_IRGRP | stat.S_IROTH)",1979,42,9,18,1
16436133,How can i create the empty json object in python,Create a default empty json object if no json is available in request parameter `mydata`,"json.loads(request.POST.get('mydata', '{}'))",1991,42,4,18,1
16962512,Convert scientific notation to decimal - python,convert scientific notation of variable `a` to decimal,"""""""{:.50f}"""""".format(float(a[0] / a[1]))",2014,42,5,18,0
17426386,How to transform a tuple to a string of values without comma and parentheses,"Concat each values in a tuple `(34.2424, -64.2344, 76.3534, 45.2344)` to get a string",""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))",2056,44,5,18,0
17794266,How to get the highest element in absolute value in a numpy matrix?,get the highest element in absolute value in a numpy matrix `x`,"max(x.min(), x.max(), key=abs)",2083,44,6,18,0
19617355,Dynamically changing log level in python without restarting the application,Change log level dynamically to 'DEBUG' without restarting the application,logging.getLogger().setLevel(logging.DEBUG),2212,48,4,18,1
19745091,Accessing dictionary by key in Django template,lookup dictionary key `key1` in Django template `json`,{{json.key1}},2220,48,1,18,0
19961490,Construct pandas DataFrame from list of tuples,construct pandas dataframe from a list of tuples,"df = pandas.DataFrame(data, columns=['R_Number', 'C_Number', 'Avg', 'Std'])",2235,48,3,18,0
21558999,Pandas: How can I remove duplicate rows from DataFrame and calculate their frequency?,remove duplicate rows from dataframe `df1` and calculate their frequency,"df1.groupby(['key', 'year']).size().reset_index()",2310,50,3,18,0
22365172,Ending with a for loop in python,"Iterate ove list `[1, 2, 3]` using list comprehension","print([item for item in [1, 2, 3]])",2350,51,7,18,1
23359886,selecting rows in numpy ndarray based on the value of two columns,"selecting rows in Numpy ndarray 'a', where the value in the first column is 0 and value in the second column is 1","a[np.where((a[:, (0)] == 0) * (a[:, (1)] == 1))]",2378,52,6,18,0
32283692,Adding a 1-D Array to a 3-D array in Numpy,"adding a 1-d array `[1, 2, 3, 4, 5, 6, 7, 8, 9]` to a 3-d array `np.zeros((6, 9, 20))`","np.zeros((6, 9, 20)) + np.array([1, 2, 3, 4, 5, 6, 7, 8, 9])[(None), :, (None)]",2616,58,6,18,0
35414625,pandas: how to run a pivot with a multi-index?,run a pivot with a multi-index `year` and `month` in a pandas data frame,"df.pivot_table(values='value', index=['year', 'month'], columns='item')",2693,60,3,18,0
35797523,"Create new list by taking first item from first list, and last item from second list",create a list by appending components from list `a` and reversed list `b` interchangeably,"[value for pair in zip(a, b[::-1]) for value in pair]",2700,60,7,18,1
39998424,How to delete a file without an extension?,delete file `filename`,os.remove(filename),2780,62,9,18,1
