question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
53513,check if a list is empty,check if list `a` is empty,"if (not a):
    pass",37,0,7,26,1
89228,Calling an external command,"Calling an external command ""ls -l""",from subprocess import call,57,0,9,26,1
237079,get file creation & modification date/times in,get the creation time of file `path_to_file`,return os.path.getctime(path_to_file),105,0,9,26,1
247770,Retrieving python module path,get the path of the python module `amodule`,path = os.path.abspath(amodule.__file__),111,0,4,26,1
510348,make a time delay,make a 60 seconds time delay,time.sleep(60),216,0,4,26,1
1450393,read from stdin,read line by line from stdin,"for line in fileinput.input():
    pass",459,3,9,26,1
2689189,How do I simulate a progress counter in a command line application in Python?,Make a delay of 1 second,time.sleep(1),646,7,4,26,1
2793324,delete a list element by value,delete the element `c` from list `a`,"try:
    a.remove(c)
except ValueError:
    pass",661,8,7,26,1
3294889,Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (letter, number) in list(d.items()):
    pass",735,10,1,26,0
3731426,How do I divide the members of a list by the corresponding members of another list in Python?,divide the members of a list `conversions` by the corresponding members of another list `trials`,"[(c / t) for c, t in zip(conversions, trials)]",805,11,7,26,1
4476373,Simple URL GET/POST function,request http url `url` with parameters `payload`,"r = requests.get(url, params=payload)",936,15,4,26,1
4706499,append to a file,append to file 'test' content 'koko',"open('test', 'a+b').write('koko')",981,16,9,26,1
5229425,Precision in python,print a digit `your_number` with exactly 2 digits after decimal,print('{0:.2f}'.format(your_number)),1048,18,5,26,0
7742752,Sorting a dictionary by value then by key,sort a dictionary `y` by value then by key,"sorted(list(y.items()), key=lambda x: (x[1], x[0]), reverse=True)",1256,23,1,26,0
9210525,convert hex to decimal,"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",1396,27,5,26,0
10271484,How to perform element-wise multiplication of two lists in Python?,create a list containing the multiplication of each elements at the same index of list `lista` and list `listb`,"[(a * b) for a, b in zip(lista, listb)]",1479,29,7,26,1
10675054,How to import a module in Python with importlib.import_module,import a module 'a.b.c' with importlib.import_module in python 2,importlib.import_module('a.b.c'),1518,30,4,26,1
10996140,How to remove specific elements in a numpy array,remove specific elements in a numpy array `a`,"numpy.delete(a, index)",1539,30,6,26,0
11840111,Divide the values of two dictionaries in python,divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)",1612,32,1,26,0
12030074,Generate list of numbers in specific format,generate list of numbers in specific format using string formatting precision.,[('%.2d' % i) for i in range(16)],1622,32,5,26,0
12426043,Can I read and write file in one line with Python?,write the content of file `xxx.mp4` to file `f`,"f.write(open('xxx.mp4', 'rb').read())",1648,33,9,26,1
14026704,How do I get the url parameter in a Flask view,How do I get the url parameter in a Flask view,request.args['myParam'],1797,37,4,26,1
14657241,How do I get a list of all the duplicate items using pandas in python?,get a list of all the duplicate items in dataframe `df` using pandas,"pd.concat(g for _, g in df.groupby('ID') if len(g) > 1)",1845,38,3,26,0
15271907,"Python mySQL Update, Working but not updating table",commit all the changes after executing a query.,dbb.commit(),1905,40,4,26,1
15940280,How to get UTC time in Python?,get current utc time,datetime.utcnow(),1956,41,2,26,0
17117912,Python Accessing Values in A List of Dictionaries,create a list of tuples with the values of keys 'Name' and 'Age' from each dictionary `d` in the list `thisismylist`,"[(d['Name'], d['Age']) for d in thisismylist]",2032,43,1,26,0
17138464,Subscripting text in matplotlib labels,subscript text 'H20' with '2' as subscripted in matplotlib labels for arrays 'x' and 'y'.,"plt.plot(x, y, label='H\u2082O')",2035,43,4,26,1
17552997,How to update a subset of a MultiIndexed pandas DataFrame,add a column 'day' with value 'sat' to dataframe `df`,"df.xs('sat', level='day', drop_level=False)",2065,44,3,26,0
17604837,"Python - Combine two dictionaries, concatenate string values?","combine two dictionaries `d ` and `d1`, concatenate string values with identical `keys`","dict((k, d.get(k, '') + d1.get(k, '')) for k in keys)",2070,44,1,26,0
17618981,How to sort pandas data frame using values from several columns?,sort pandas data frame `df` using values from columns `c1` and `c2` in ascending order,"df.sort(['c1', 'c2'], ascending=[True, True])",2072,44,3,26,0
17972020,How to execute raw SQL in SQLAlchemy-flask app,execute raw sql queue '<sql here>' in database `db` in sqlalchemy-flask app,result = db.engine.execute('<sql here>'),2096,45,4,26,1
18168684,Parsing XML in Python with regex,search for occurrences of regex pattern '>.*<' in xml string `line`,"print(re.search('>.*<', line).group(0))",2110,45,0,26,0
20110170,Turn Pandas Multi-Index into column,reset index of dataframe `df`so that existing index values are transferred into `df`as columns,df.reset_index(inplace=True),2246,48,3,26,0
20206615,How can a pandas merge preserve order?,do a `left` merge of dataframes `x` and `y` on the column `state` and sort by `index`,"x.reset_index().merge(y, how='left', on='state', sort=False).sort('index')",2252,49,3,26,0
20512297,How can I concatenate a Series onto a DataFrame with Pandas?,concatenate a series `students` onto a dataframe `marks` with pandas,"pd.concat([students, pd.DataFrame(marks)], axis=1)",2268,49,3,26,0
23566515,Multiplication of 1d arrays in numpy,get the dot product of two one dimensional numpy arrays,"np.dot(a[:, (None)], b[(None), :])",2382,52,6,26,0
34023918,Make new column in Panda dataframe by adding values from other columns,make new column 'C' in panda dataframe by adding values from other columns 'A' and 'B',df['C'] = df['A'] + df['B'],2654,59,3,26,0
40055835,Removing elements from an array that are in another array,remove elements from an array `A` that are in array `B`,"A[np.all(np.any(A - B[:, (None)], axis=2), axis=0)]",2782,62,6,26,0
40987319,How to subset a dataset in pandas dataframe?,extract the first four rows of the column `ID` from a pandas dataframe `df`,df.groupby('ID').head(4),2821,63,3,26,0
