question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
89228,Calling an external command,"Calling an external command ""some_command with args""",stream = os.popen('some_command with args'),61,0,9,12,1
804995,How to use subprocess when multiple arguments contain spaces?,Call a subprocess with arguments `c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat` that may contain spaces,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),330,0,9,12,1
2111163,Selecting specific column in each row from array,get element at index 0 of first row and element at index 1 of second row in array `A`,"A[[0, 1], [0, 1]]",554,5,6,12,0
2151517,Create Union of All Values Contained in Multiple Lists,get the union set from list of lists `results_list`,results_union = set().union(*results_list),559,5,7,12,1
2553354,How to get a variable name as a string in Python?,"get a dict of variable names `['some', 'list', 'of', 'vars']` as a string and their values","dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])",615,7,1,12,0
3933478,accessing python dictionary,get the value associated with unicode key 'from_user' of first dictionary in list `result`,result[0]['from_user'],843,12,1,12,0
4230000,Creating a 2d matrix in python,creating a 5x6 matrix filled with `None` and save it as `x`,x = [[None for _ in range(5)] for _ in range(6)],898,14,6,12,0
4842956,Python: How to remove empty lists from a list?,Create `list2` to contain the lists from list `list1` excluding the empty lists from `list1`,list2 = [x for x in list1 if x],997,16,7,12,1
6416131,add new item to dictionary,"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })",1145,20,1,12,0
7142062,Get function name as a string in python,get the name of function `func` as a string,print(func.__name__),1199,22,4,12,1
7794208,How can I remove duplicate words in a string with Python?,Keep only unique words in list of words `words` and join into string,"print(' '.join(sorted(set(words), key=words.index)))",1261,23,0,12,0
8654637,"Pythonic way to fetch all elements in a dictionary, falling between two keys?",fetch all elements in a dictionary 'parent_dict' where the key is between the range of 2 to 4,"dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)",1346,25,1,12,0
9336270,Using a Python dict for a SQL INSERT statement,Execute SQL statement `sql` with values of dictionary `myDict` as parameters,"cursor.execute(sql, list(myDict.values()))",1407,27,1,12,0
9573244,check if the string is empty,check if string `my_string` is empty,"if some_string:
    pass",1427,27,0,12,0
10624937,Convert datetime object to a String of date only in Python,format datetime in `dt` as string in format `'%m/%d/%Y`,dt.strftime('%m/%d/%Y'),1511,30,2,12,0
11219949,Python : how to append new elements in a list of list?,append 3 lists in one list,[[] for i in range(3)],1552,31,7,12,1
11303238,Finding recurring patterns in a string,find recurring patterns in a string '42344343434',"re.findall('^(.+?)((.+)\\3+)$', '42344343434')[0][:-1]",1561,31,0,12,0
11692613,Python - sum values in dictionary,sum values in list of dictionaries `example_list` with key 'gold',sum(item['gold'] for item in example_list),1594,32,1,12,0
12768504,Python: an efficient way to slice a list with a index list,create list `c` containing items from list `b` whose index is in list `index`,c = [b[i] for i in index],1670,34,7,12,1
13490292,Format number using LaTeX notation in Python,format number 1000000000.0 using latex notation,print('\\num{{{0:.2g}}}'.format(1000000000.0)),1749,36,5,12,0
13628725,How to generate random numbers that are different?,generate six unique random numbers in the range of 1 to 49.,"random.sample(range(1, 50), 6)",1762,36,5,12,0
14182339,Matching multiple regex patterns with the alternation operator?,match regex '\\((.*?)\\)|(\\w)' with string '(zyx)bc',"re.findall('\\((.*?)\\)|(\\w)', '(zyx)bc')",1814,37,0,12,0
14571103,Capturing emoticons using regular expression in python,fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)",1841,38,0,12,0
18131367,python - iterating over a subset of a list of tuples,Get all the items from a list of tuple 'l' where second item in tuple is '1'.,[x for x in l if x[1] == 1],2106,45,7,12,1
19100540,Rounding entries in a Pandas DafaFrame,"round off entries in dataframe `df` column `Alabama_exp` to two decimal places, and entries in column `Credit_exp` to three decimal places","df.round({'Alabama_exp': 2, 'Credit_exp': 3})",2180,47,3,12,0
20084487,Use index in pandas to plot data,plot data of column 'index' versus column 'A' of dataframe `monthly_mean` after resetting its index,"monthly_mean.reset_index().plot(x='index', y='A')",2244,48,3,12,0
20733827,creating list of random numbers in python,create list `randomList` with 10 random floating point numbers between 0.0 and 1.0,randomList = [random.random() for _ in range(10)],2277,49,5,12,0
21188504,python pandas: apply a function with arguments to a series. Update,"Add 100 to each element of column ""x"" in dataframe `a`","a['x'].apply(lambda x, y: x + y, args=(100,))",2298,50,3,12,0
26081300,Pandas: Subtract row mean from each element in row,Subtract the mean of each row in dataframe `df` from the corresponding row's elements,"df.sub(df.mean(axis=1), axis=0)",2436,53,3,12,0
27975069,How to filter rows containing a string pattern from a Pandas dataframe,filter rows containing key word `ball` in column `ids`,df[df['ids'].str.contains('ball')],2481,54,0,12,0
29530232,Python pandas: check if any value is NaN in DataFrame,check if datafram `df` has any NaN vlaues,df.isnull().values.any(),2523,55,3,12,0
29703793,Python Regex Get String Between Two Substrings,"get a string `randomkey123xyz987` between two substrings in a string `api('randomkey123xyz987', 'key', 'text')` using regex","re.findall(""api\\('(.*?)'"", ""api('randomkey123xyz987', 'key', 'text')"")",2527,56,0,12,0
31818050,round number to nearest integer,round number 8.005 up to 2 decimal places,"round(8.005, 2)",2602,58,5,12,0
35945473,How to reverse a dictionary in Python?,reverse the keys and values in a dictionary `myDictionary`,{i[1]: i[0] for i in list(myDictionary.items())},2704,60,1,12,0
40094588,How to get a list of matchable characters from a regex class,get a list of characters in string `x` matching regex pattern `pattern`,"print(re.findall(pattern, x))",2785,62,0,12,0
40144769,How to select the last column of dataframe,select the last column of dataframe `df`,df[df.columns[-1]],2787,62,3,12,0
40682209,Pandas: Fill missing values by mean in each group faster than transfrom,Replace NaN values in  column 'value' with the mean of data in column 'group' of dataframe `df`,df[['value']].fillna(df.groupby('group').transform('mean')),2811,63,3,12,0
42060144,Conditionally fill a column of a pandas df with values of a different df,Merge column  'word' in dataframe `df2` with column 'word' on dataframe `df1`,"df1.merge(df2, how='left', on='word')",2857,64,3,12,0
42747987,In pandas Dataframe with multiindex how can I filter by order?,select the first row grouped per level 0 of dataframe `df`,"df.groupby(level=0, as_index=False).nth(0)",2877,65,3,12,0
