question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
38987,How to merge two Python dictionaries in a single expression?,merge dictionaries form array `dicts` in a single expression,"dict((k, v) for d in dicts for k, v in list(d.items()))",25,0,1,36,0
104420,How to generate all permutations of a list in Python,"generate all permutations of a list `[1, 2, 3]`","itertools.permutations([1, 2, 3])",66,0,7,36,1
276052,get current CPU and RAM usage,get current CPU and RAM usage,"psutil.cpu_percent()
psutil.virtual_memory()",129,0,4,36,1
508657,Multidimensional array in Python,Create multidimensional array `matrix` with 3 rows and 2 columns in python,"matrix = [[a, b], [c, d], [e, f]]",212,0,6,36,0
546321,How do I calculate the date six months from the current date,get the date 6 months from today,six_months = (date.today() + relativedelta(months=(+ 6))),230,0,2,36,0
587345,Python regular expression matching a multiline block of text,create a regular expression that matches the pattern '^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)' over multiple lines of text,"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)",239,0,0,36,0
627435,remove an element from a list by index,remove the last element in list `a`,a.pop(),253,0,7,36,1
674519,How can I convert a Python dictionary to a list of tuples?,convert python 2 dictionary `a` to a list of tuples where the value is the first tuple element and the key is the second tuple element,"[(v, k) for k, v in a.items()]",274,0,1,36,0
1093322,check what version of Python is running,check python version,sys.version_info,415,1,4,36,1
1143379,Removing duplicates from list of lists in Python,remove duplicate elements from list 'L',"list(dict((x[0], x) for x in L).values())",419,2,7,36,1
2849286,"Python, Matplotlib, subplot: How to set the axis range?","set the y axis range to `0, 1000` in subplot using pylab","pylab.ylim([0, 1000])",674,8,4,36,1
2972212,Creating an empty list,Creating an empty list,[],687,8,7,36,1
3276180,Extracting date from a string in Python,extract date from a string 'monkey 2010-07-32 love banana',"dparser.parse('monkey 2010-07-32 love banana', fuzzy=True)",725,9,2,36,0
3276180,Extracting date from a string in Python,extract date from a string 'monkey 20/01/1980 love banana',"dparser.parse('monkey 20/01/1980 love banana', fuzzy=True)",726,9,2,36,0
5486725,How to execute a command prompt command from python,execute a command in the command prompt to list directory contents of the c drive `c:\\',os.system('dir c:\\'),1070,18,9,36,1
5932059,Partitioning a string in Python by a regular expression,split a string into a list of words and whitespace,"re.split('(\\W+)', s)",1111,19,8,36,0
6591931,Getting file size in Python?,get the  size of file 'C:\\Python27\\Lib\\genericpath.py',os.stat('C:\\Python27\\Lib\\genericpath.py').st_size,1161,21,9,36,1
6886493,Get all object attributes,Get all object attributes of object `obj`,print((obj.__dict__)),1184,21,4,36,1
7271482,python getting a list of value from list of dict,python getting a list of value from list of dict,[d['value'] for d in l],1216,22,1,36,0
8440117,How do I print a Celsius symbol with matplotlib?,Print a celsius symbol with matplotlib,ax.set_xlabel('Temperature ($^\\circ$C)'),1331,25,4,36,1
8687568,How to write a tuple of tuples to a CSV file using Python,Write all tuple of tuples `A` at once into csv file,writer.writerows(A),1350,25,7,36,1
11573817,How to download a file via FTP with Python ftplib,How to download a file via FTP with Python ftplib,"ftp.retrbinary('RETR %s' % filename, file.write)",1585,31,9,36,1
14637696,Length of longest word in a list,length of longest element in list `words`,"len(max(words, key=len))",1844,38,7,36,1
15334783,Multiplying values from two different dictionaries together in Python,multiply values of dictionary `dict` with their respective values in dictionary `dict2`,"dict((k, v * dict2[k]) for k, v in list(dict1.items()) if k in dict2)",1915,40,1,36,0
15411107,Delete a dictionary item if the key exists,"Delete an item with key ""key"" from `mydict`","mydict.pop('key', None)",1923,40,1,36,0
15579649,python dict to numpy structured array,convert dict `result` to numpy structured array,"numpy.array([(key, val) for key, val in result.items()], dtype)",1936,40,6,36,0
16114244,Get contents of entire page using Selenium,Selenium get the entire `driver` page text,driver.page_source,1965,41,4,36,1
16296643,Convert tuple to list,Convert list `t` to tuple,tuple(l),1982,42,7,36,1
17038639,sorting a list with objects of a class as its items,sort list `your_list` by the `anniversary_score` attribute of each object,your_list.sort(key=lambda x: x.anniversary_score),2020,43,7,36,1
18253210,Creating a numpy array of 3D coordinates from three 1D arrays,"creating a numpy array of 3d coordinates from three 1d arrays `x_p`, `y_p` and `z_p`","np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T",2116,45,6,36,0
20059427,Python: using a dict to speed sorting of a list of tuples,create a dictionary `list_dict` containing each tuple in list `tuple_list` as values and the tuple's first element as the corresponding key,list_dict = {t[0]: t for t in tuple_list},2240,48,1,36,0
