question_id,intent,rewritten_intent,snippet,idx,time_batch
1476,express binary literals,convert binary string '11111111' to integer,"int('11111111', 2)",0,0
1476,express binary literals,convert 21 to binary string,bin(21),1,0
1476,express binary literals,convert binary string '0b0010101010' to integer,"int('0b0010101010', 2)",2,0
1476,express binary literals,convert binary string '010101' to integer,"int('010101', 2)",3,0
1476,express binary literals,convert binary string '01010101111' to integer,"int('01010101111', 2)",4,0
1476,express binary literals,convert 173 to binary string,bin(173),5,0
1854,What OS am I running on,get os name,"import platform
platform.system()",6,0
1854,What OS am I running on,get os version,"import platform
platform.release()",7,0
1854,What OS am I running on,get the name of the OS,print(os.name),8,0
3061,Calling a function of a module from a string with the function's name in Python,calling a function named 'myfunction' in the module,globals()['myfunction'](),9,0
19339,inverse of zip,unzip list `original`,"result = ([a for (a, b) in original], [b for (a, b) in original])",10,0
19339,inverse of zip,"unzip list `[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e', )]` and fill empty results with None","map(None, *[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e',)])",11,0
19339,inverse of zip,"unzip list `[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e', )]`","zip(*[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e',)])",12,0
19339,inverse of zip,unzip list `original` and return a generator,"result = ((a for (a, b) in original), (b for (a, b) in original))",13,0
19339,inverse of zip,"unzip the list `[('a', 1), ('b', 2), ('c', 3), ('d', 4)]`","zip(*[('a', 1), ('b', 2), ('c', 3), ('d', 4)])",14,0
19339,inverse of zip,"unzip the list `[('a', 1), ('b', 2), ('c', 3), ('d', 4)]`","zip(*[('a', 1), ('b', 2), ('c', 3), ('d', 4)])",15,0
22676,download a file over HTTP,"download a file `url` over HTTP and save to ""10MB""","response = requests.get(url, stream=True)
with open('10MB', 'wb') as handle:
    for data in tqdm(response.iter_content()):
        handle.write(data)",16,0
22676,download a file over HTTP,download a file 'http://www.example.com/' over HTTP,"response = urllib.request.urlopen('http://www.example.com/')
html = response.read()",17,0
22676,download a file over HTTP,download a file `url` over HTTP and save to `file_name`,"u = urllib.request.urlopen(url)
f = open(file_name, 'wb')
meta = u.info()
file_size = int(meta.getheaders('Content-Length')[0])
print(('Downloading: %s Bytes: %s' % (file_name, file_size)))
file_size_dl = 0
block_sz = 8192
while True:
    buffer = u.read(block_sz)
    if (not buffer):
        break
    file_size_dl += len(buffer)
    f.write(buffer)
    status = ('%10d  [%3.2f%%]' % (file_size_dl, ((file_size_dl * 100.0) / file_size)))
    status = (status + (chr(8) * (len(status) + 1)))
    print(status, end=' ')
f.close()",18,0
22676,download a file over HTTP,"download a file ""http://www.example.com/songs/mp3.mp3"" over HTTP and save to ""mp3.mp3""","urllib.request.urlretrieve('http://www.example.com/songs/mp3.mp3', 'mp3.mp3')",19,0
22676,download a file over HTTP,download a file `url` over HTTP,r = requests.get(url),20,0
36139,How do I sort a list of strings in Python?,sort a list of strings `list`,list.sort(),21,0
36139,How do I sort a list of strings in Python?,sort a list of strings 'mylist'.,mylist.sort(),22,0
36139,How do I sort a list of strings in Python?,sort list `mylist` alphabetically,mylist.sort(key=lambda x: x.lower()),23,0
36139,How do I sort a list of strings in Python?,sort list `mylist` in alphabetical order,mylist.sort(key=str.lower),24,0
38987,How to merge two Python dictionaries in a single expression?,merge dictionaries form array `dicts` in a single expression,"dict((k, v) for d in dicts for k, v in list(d.items()))",25,0
42950,Get Last Day of the Month,Get Last Day of the first month in year 2000,"(datetime.date(2000, 2, 1) - datetime.timedelta(days=1))",26,0
42950,Get Last Day of the Month,Get Last Day of the second month in 2002,"calendar.monthrange(2008, 2)",27,0
42950,Get Last Day of the Month,Get Last Day of the month `month` in year `year`,"calendar.monthrange(year, month)[1]",28,0
42950,Get Last Day of the Month,Get Last Day of the second month in 2100,"calendar.monthrange(2100, 2)",29,0
42950,Get Last Day of the Month,Get Last Day of the first month in 2002,"calendar.monthrange(2002, 1)",30,0
42950,Get Last Day of the Month,Get Last Day of the second month in year 2012,"monthrange(2012, 2)",31,0
44778,How would you make a comma-separated string from a list?,make a comma-separated string from a list `myList`,"myList = ','.join(map(str, myList))",32,0
44778,How would you make a comma-separated string from a list?,"Join elements of list `l` with a comma `,`",""""""","""""".join(l)",33,0
51520,How to get an absolute file path in Python,get an absolute file path of file 'mydir/myfile.txt',os.path.abspath('mydir/myfile.txt'),34,0
53513,check if a list is empty,check if list `seq` is empty,"if (not seq):
    pass",35,0
53513,check if a list is empty,check if list `li` is empty,"if (len(li) == 0):
    pass",36,0
53513,check if a list is empty,check if list `a` is empty,"if (not a):
    pass",37,0
59825,How to retrieve an element from a set without removing it?,retrieve an element from a set `s` without removing it,e = next(iter(s)),38,0
70797,user input and commandline arguments,"print ""Please enter something: "" to console, and read user input to `var`",var = input('Please enter something: '),39,0
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,sort a list of dictionaries `l` by values in key `name` in descending order,"newlist = sorted(l, key=itemgetter('name'), reverse=True)",40,0
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,Sort a list of dictionaries `list_to_be_sorted` by the value of the dictionary key `name`,"newlist = sorted(list_to_be_sorted, key=lambda k: k['name'])",41,0
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,How do I sort a list of dictionaries by values of the dictionary in Python?,list_of_dicts.sort(key=operator.itemgetter('name')),42,0
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,How do I sort a list of dictionaries by values of the dictionary in Python?,list_of_dicts.sort(key=operator.itemgetter('age')),43,0
73663,Terminating a Python script,terminate the program,sys.exit(),44,0
73663,Terminating a Python script,"Terminating a Python script with error message ""some error message""",sys.exit('some error message'),45,0
73663,Terminating a Python script,terminate the program,quit(),46,0
82831,check whether a file exists,"check whether file ""/path/to/file"" exists","my_file = Path('/path/to/file')
if my_file.is_file():
    pass",47,0
82831,check whether a file exists,check whether a file `fname` exists,os.path.isfile(fname),48,0
82831,check whether a file exists,"check whether a path ""/etc"" exists",print(os.path.exists('/etc')),49,0
82831,check whether a file exists,check whether file `file_path` exists,os.path.exists(file_path),50,0
82831,check whether a file exists,"check whether a file ""/does/not/exist"" exists",print(os.path.isfile('/does/not/exist')),51,0
82831,check whether a file exists,"check whether a file ""/etc/password.txt"" exists",print(os.path.isfile('/etc/password.txt')),52,0
82831,check whether a file exists,"check whether a file ""/etc"" exists",print(os.path.isfile('/etc')),53,0
82831,check whether a file exists,"check whether a path ""/etc/password.txt"" exists",print(os.path.exists('/etc/password.txt')),54,0
82831,check whether a file exists,"check whether a path ""/does/not/exist"" exists",print(os.path.exists('/does/not/exist')),55,0
89228,Calling an external command,"Calling an external command ""ls -l""","call(['ls', '-l'])",56,0
89228,Calling an external command,"Calling an external command ""ls -l""",from subprocess import call,57,0
89228,Calling an external command,"Calling an external command ""some_command with args""",os.system('some_command with args'),58,0
89228,Calling an external command,"Calling an external command ""ls""","p = subprocess.Popen('ls', shell=True, stdout=subprocess.PIPE, stderr=subprocess.STDOUT)
for line in p.stdout.readlines():
    print(line, end=' ')
retval = p.wait()",59,0
89228,Calling an external command,"Calling an external command ""echo Hello World""",print(os.popen('echo Hello World').read()),60,0
89228,Calling an external command,"Calling an external command ""some_command with args""",stream = os.popen('some_command with args'),61,0
89228,Calling an external command,"Calling an external command ""echo Hello World""","print(subprocess.Popen('echo Hello World', shell=True, stdout=subprocess.PIPE).stdout.read())",62,0
89228,Calling an external command,"Calling an external command ""echo Hello World""","return_code = subprocess.call('echo Hello World', shell=True)",63,0
89228,Calling an external command,"Calling an external command ""some_command < input_file | another_command > output_file""",os.system('some_command < input_file | another_command > output_file'),64,0
104420,How to generate all permutations of a list in Python,"generate all permutations of list `[1, 2, 3]` and list `[4, 5, 6]`","print(list(itertools.product([1, 2, 3], [4, 5, 6])))",65,0
