question_id,intent,rewritten_intent,snippet,idx,time_batch
1101508,How to parse dates with -0400 timezone string in python?,parse date string '2009/05/13 19:19:30 -0400' using format '%Y/%m/%d %H:%M:%S %z',"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')",418,2
1143379,Removing duplicates from list of lists in Python,remove duplicate elements from list 'L',"list(dict((x[0], x) for x in L).values())",419,2
1179305,Expat parsing in python 3,Parse a file `sample.xml` using expat parsing in python 3,"parser.ParseFile(open('sample.xml', 'rb'))",420,2
1185524,trim whitespace,trim whitespace in string `s`,s.strip(),421,2
1185524,trim whitespace (including tabs),trim whitespace (including tabs) in `s` on the left side,s = s.lstrip(),422,2
1185524,trim whitespace (including tabs),trim whitespace (including tabs) in `s` on the right side,s = s.rstrip(),423,2
1185524,trim whitespace (including tabs),trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r'),424,2
1185524,trim whitespace (including tabs),trim whitespaces (including tabs) in string `s`,"print(re.sub('[\\s+]', '', s))",425,2
1186789,call a Python script from another Python script,"call a Python script ""test2.py""","exec(compile(open('test2.py').read(), 'test2.py', 'exec'))",426,2
1186789,call a Python script from another Python script,"call a Python script ""test1.py""","subprocess.call('test1.py', shell=True)",427,2
1196074,How to start a background process in Python?,run shell command 'rm -r some.file' in the background,"subprocess.Popen(['rm', '-r', 'some.file'])",428,2
1197600,Matching blank lines with regular expressions,match blank lines in `s` with regular expressions,"re.split('\n\\s*\n', s)",429,2
1207457,Convert a Unicode string to a string,Convert a Unicode string `title` to a 'ascii' string,"unicodedata.normalize('NFKD', title).encode('ascii', 'ignore')",430,2
1207457,Convert a Unicode string to a string,Convert a Unicode string `a` to a 'ascii' string,"a.encode('ascii', 'ignore')",431,2
1217251,Python: sorting a dictionary of lists,sort dictionary of lists `myDict` by the third item in each list,"sorted(list(myDict.items()), key=lambda e: e[1][2])",432,2
1222677,List Comprehensions in Python : efficient selection in a list,create a list containing elements from list `list` that are predicate to function `f`,[f(x) for x in list],433,2
1246444,convert string to dict using list comprehension in python,convert string `x'  to dictionary splitted by `=` using list comprehension,dict([x.split('=') for x in s.split()]),434,2
1249388,Removing all non-numeric characters from string in Python,remove all non-numeric characters from string `sdkjh987978asd098as0980a98sd `,"re.sub('[^0-9]', '', 'sdkjh987978asd098as0980a98sd')",435,2
1249786,Is there a string-collapse library function in python?,split string `my_string` on white spaces,""""""" """""".join(my_string.split())",436,2
1269217,Calling a base class's classmethod in Python,Call a base class's class method `do` from derived class `Derived`,"super(Derived, cls).do(a)",437,2
1270951,Python - how to refer to relative paths of resources when working with code repository,get a relative path of file 'my_file' into variable `fn`,"fn = os.path.join(os.path.dirname(__file__), 'my_file')",438,2
1299855,upload file with Python Mechanize,upload file with Python Mechanize,"br.form.add_file(open(filename), 'text/plain', filename)",439,2
1303243,find out if a Python object is a string,check if object `o` is a string,"isinstance(o, str)",440,2
1303243,find out if a Python object is a string,check if object `obj` is a string,"isinstance(obj, str)",441,2
1303243,find out if a Python object is a string,check if object `o` is a string,(type(o) is str),442,2
1303243,find out if a Python object is a string,check if object `o` is a string,"isinstance(o, str)",443,2
1303243,find out if a Python object is a string,check if `obj_to_test` is a string,"isinstance(obj_to_test, str)",444,2
1348026,How do I create a file in python without overwriting an existing file,create file 'x' if file 'x' does not exist,"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)",445,2
1358977,How to make several plots on a single page using matplotlib?,"Return a subplot axes positioned by the grid definition `1,1,1` using matpotlib","fig.add_subplot(1, 1, 1)",446,2
1386811,Convert binary string to list of integers using Python,Convert binary string to list of integers using Python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]",447,2
1388818,How can I compare two lists in python and return matches,compare two lists in python `a` and `b` and return matches,set(a).intersection(b),448,2
1388818,How can I compare two lists in python and return matches,How can I compare two lists in python and return matches,"[i for i, j in zip(a, b) if i == j]",449,2
1391026,Google App Engine - Request class query_string,Retrieve parameter 'var_name' from a GET request.,self.request.get('var_name'),450,2
1397827,How to read formatted input in python?,get a list of of elements resulting from splitting user input by commas and stripping white space from each resulting string `s`,"[s.strip() for s in input().split(',')]",451,2
1400608,empty a list,empty a list `lst`,del lst[:],452,2
1400608,empty a list,empty a list `lst`,del lst1[:],453,2
1400608,empty a list,empty a list `alist`,alist[:] = [],454,2
1400608,empty a list,empty a list `lst`,lst[:] = [],455,2
1405602,How to adjust the quality of a resized image in Python Imaging Library?,"resized image `image` to width, height of `(x, y)` with filter of `ANTIALIAS`","image = image.resize((x, y), Image.ANTIALIAS)",456,2
