question_id,intent,rewritten_intent,snippet,idx,time_batch
30747705,Parsing string containing Unicode character names,Produce a string that is suitable as Unicode literal from string 'M\\N{AMPERSAND}M\\N{APOSTROPHE}s','M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.encode().decode('unicode-escape'),2563,57
30747705,Parsing string containing Unicode character names,Parse a unicode string `M\\N{AMPERSAND}M\\N{APOSTROPHE}s`,'M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.decode('unicode-escape'),2564,57
30759776,Extracting specific src attributes from script tags,"extract attributes 'src=""js/([^""]*\\bjquery\\b[^""]*)""' from string `data`","re.findall('src=""js/([^""]*\\bjquery\\b[^""]*)""', data)",2565,57
30766151,Regular Expression to find brackets in a string,Extract brackets from string `s`,"brackets = re.sub('[^(){}[\\]]', '', s)",2566,57
30787901,How to get a value from a Pandas DataFrame and not the index and object type,get the first value from dataframe `df` where column 'Letters' is equal to 'C',"df.loc[df['Letters'] == 'C', 'Letters'].values[0]",2567,57
30843103,How to get the index of an integer from a list if the list contains a boolean?,get the index of an integer `1` from a list `lst` if the list also contains boolean items,"next(i for i, x in enumerate(lst) if not isinstance(x, bool) and x == 1)",2568,57
30945784,How to remove all characters before a specific character in Python?,remove all characters from string `stri` upto character 'I',"re.sub('.*I', 'I', stri)",2569,57
30994370,How can I add a comment to a YAML file in Python,Write a comment `# Data for Class A\n` to a file object `f`,f.write('# Data for Class A\n'),2570,57
31029560,Plotting categorical data with pandas and matplotlib,plot a bar graph from the column 'color' in the DataFrame 'df',df.colour.value_counts().plot(kind='bar'),2571,57
31029560,Plotting categorical data with pandas and matplotlib,plot categorical data in series `df` with kind `bar` using pandas and matplotlib,df.groupby('colour').size().plot(kind='bar'),2572,57
31143732,How to create range of numbers in Python like in MATLAB,Create numpy array of `5` numbers starting from `1` with interval of `3`,"print(np.linspace(1, 3, num=5))",2573,57
31143732,How to create range of numbers in Python like in MATLAB,create 4 numbers in range between 1 and 3,"print(np.linspace(1, 3, num=4, endpoint=False))",2574,57
31247198,"Python, Pandas : write content of DataFrame into text File",write the data of dataframe `df` into text file `np.txt`,"np.savetxt('c:\\data\\np.txt', df.values, fmt='%d')",2575,57
31247198,"Python, Pandas : write content of DataFrame into text File",write content of DataFrame `df` into text file 'c:\\data\\pandas.txt',"df.to_csv('c:\\data\\pandas.txt', header=None, index=None, sep=' ', mode='a')",2576,57
31258561,get current directory - Python,Get the current directory of a script,os.path.basename(os.path.dirname(os.path.realpath(__file__))),2577,57
31267493,Remove list of indices from a list in Python,remove elements from list `centroids` the indexes of which are in array `index`,"[element for i, element in enumerate(centroids) if i not in index]",2578,57
31302904,How to index nested lists in Python?,get first element of each tuple in list `A`,[tup[0] for tup in A],2579,57
31371879,Split by suffix with Python regular expression,split string `s` by words that ends with 'd',"re.findall('\\b(\\w+)d\\b', s)",2580,57
31385363,how to export a table dataframe in pyspark to csv?,Write DataFrame `df` to csv file 'mycsv.csv',df.write.csv('mycsv.csv'),2581,57
31385363,how to export a table dataframe in pyspark to csv?,export a table dataframe `df` in pyspark to csv 'mycsv.csv',df.toPandas().to_csv('mycsv.csv'),2582,57
31405409,How to remove parentheses only around single words in a string,remove parentheses only around single words in a string `s` using regex,"re.sub('\\((\\w+)\\)', '\\1', s)",2583,57
31465002,Python regex findall alternation behavior,"find all digits in string '6,7)' and put them to a list","re.findall('\\d|\\d,\\d\\)', '6,7)')",2584,57
31522361,Python: Getting rid of \u200b from a string using regular expressions,replacing  '\u200b' with '*' in a string  using regular expressions,"'used\u200b'.replace('\u200b', '*')",2585,57
