question_id,intent,rewritten_intent,snippet,idx,time_batch
3939361,Remove specific characters from a string,"Remove characters ""!@#$"" from a string `line`","line = re.sub('[!@#$]', '', line)",847,13
3939361,Remove specific characters from a string,"Remove characters ""!@#$"" from a string `line`","line.translate(None, '!@#$')",848,13
3939361,Remove specific characters from a string,"Remove string ""1"" from string `string`","string.replace('1', '')",849,13
3940128,reverse a list,reverse a list `array`,list(reversed(array)),850,13
3940128,reverse a list,reverse a list `L`,L.reverse(),851,13
3940128,reverse a list,reverse a list `L`,L[::(-1)],852,13
3940128,reverse a list,reverse a list `array`,reversed(array),853,13
3944876,Casting an int to a string in Python,cast an int `i` to a string and concat to string 'ME','ME' + str(i),854,13
3945750,Find a specific tag with BeautifulSoup,BeautifulSoup find tag 'div' with styling 'width=300px;' in HTML string `soup`,"soup.findAll('div', style='width=300px;')",855,13
3945856,Converting string to tuple and adding to tuple,"converting string '(1,2,3,4)' to a tuple","ast.literal_eval('(1,2,3,4)')",856,13
3961581,"In Python, how to display current time in readable format",display current time in readable format,"time.strftime('%l:%M%p %z on %b %d, %Y')",857,13
3964681,Find all files in directory with extension .txt,"Find all files in directory ""/mydir"" with extension "".txt""","for file in os.listdir('/mydir'):
    if file.endswith('.txt'):
        pass",858,13
3964681,Find all files in directory with extension .txt,"Find all files in directory ""/mydir"" with extension "".txt""","os.chdir('/mydir')
for file in glob.glob('*.txt'):
    pass",859,13
3964681,Find all files in directory with extension .txt,"Find all files in directory ""/mydir"" with extension "".txt""","for (root, dirs, files) in os.walk('/mydir'):
    for file in files:
        if file.endswith('.txt'):
            pass",860,13
3984539,Python: use regular expression to remove the white space from all lines,replace white spaces in string '  a\n b\n c\nd  e' with empty string '',"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')",861,13
3984539,Python: use regular expression to remove the white space from all lines,remove white spaces from all the lines using a regular expression in string 'a\n b\n c',"re.sub('(?m)^\\s+', '', 'a\n b\n c')",862,13
3989016,How to find all positions of the maximum value in a list?,get index of the first biggest element in list `a`,a.index(max(a)),863,13
3996904,Generate random integers between 0 and 9,Generate a random integer between 0 and 9,"randint(0, 9)",864,13
3996904,Generate random integers between 0 and 9,Generate random integers between 0 and 9,"print((random.randint(0, 9)))",865,13
3996904,Generate random integers between 0 and 9,Generate a random integer between `a` and `b`,"random.randint(a, b)",866,13
4004550,Converting string series to float list,Converting string lists `s` to float list,"floats = map(float, s.split())",867,13
4004550,Converting string series to float list,Converting string lists `s` to float list,floats = [float(x) for x in s.split()],868,13
4008546,How to pad with n characters in Python,pad 'dog' up to a length of 5 characters with 'x',"""""""{s:{c}^{n}}"""""".format(s='dog', n=5, c='x')",869,13
4020539,Process escape sequences in a string,decode escape sequences in string `myString`,myString.decode('string_escape'),870,13
4029436,Subtracting the current and previous item in a list,create a list containing the subtraction of each item in list `L` from the item prior to it,"[(y - x) for x, y in zip(L, L[1:])]",871,13
4048964,printing tab-separated values of a list,print elements of list `list` seperated by tabs `\t`,"print('\t'.join(map(str, list)))",872,13
4059550,Generate all possible strings from a list of token,"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])",873,13
4060221,How to reliably open a file in the same directory as a Python script,open a file 'bundled-resource.jpg' in the same directory as a python script,"f = open(os.path.join(__location__, 'bundled-resource.jpg'))",874,13
4065737,Python/Numpy: Convert list of bools to unsigned int,Sum the corresponding decimal values for binary values of each boolean element in list `x`,"sum(1 << i for i, b in enumerate(x) if b)",875,13
4108561,How to exclude a character from a regex group?,How to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+'),876,13
4111412,How do I get a list of indices of non zero elements in a list?,get a list of indices of non zero elements in a list `a`,"[i for i, e in enumerate(a) if e != 0]",877,13
4112265,How to zip lists in a list,"zip lists in a list [[1, 2], [3, 4], [5, 6]]","zip(*[[1, 2], [3, 4], [5, 6]])",878,13
4112265,How to zip lists in a list,"zip lists `[1, 2], [3, 4], [5, 6]` in a list","zip(*[[1, 2], [3, 4], [5, 6]])",879,13
4116061,Importing everything ( * ) dynamically from a module,import all classes from module `some.package`,globals().update(importlib.import_module('some.package').__dict__),880,13
4126227,Appending tuples to lists,append a tuple of elements from list `a` with indexes '[0][0] [0][2]' to list `b`,"b.append((a[0][0], a[0][2]))",881,13
4127344,Transforming the string representation of a dictionary into a real dictionary,transforming the string `s` into dictionary,"dict(map(int, x.split(':')) for x in s.split(','))",882,13
4131123,Finding the most frequent character in a string,print letter that appears most frequently in string `s`,print(collections.Counter(s).most_common(1)[0]),883,13
4135344,generate pdf from markdown file,generate pdf file `output_filename` from markdown file `input_filename`,"with open(input_filename, 'r') as f:
    html_text = markdown(f.read(), output_format='html4')
pdfkit.from_string(html_text, output_filename)",884,13
4143502,How to do a scatter plot with empty circles in Python?,"scatter a plot with x, y position of `np.random.randn(100)` and face color equal to none","plt.scatter(np.random.randn(100), np.random.randn(100), facecolors='none')",885,13
