question_id,intent,rewritten_intent,snippet,idx,time_batch
9206964,How to split string into words that do not contain whitespaces in python?,"split string ""This is a string"" into words that do not contain whitespaces","""""""This is a string"""""".split()",1393,27
9210525,convert hex to decimal,convert hex string `s` to decimal,"i = int(s, 16)",1394,27
9210525,convert hex to decimal,convert hex string '0xdeadbeef' to decimal,ast.literal_eval('0xdeadbeef'),1395,27
9210525,convert hex to decimal,"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",1396,27
9210525,convert hex to decimal,"convert hex string ""0xff"" to decimal","int('0xff', 16)",1397,27
9210525,convert hex to decimal,convert hex string 'deadbeef' to decimal,"int('deadbeef', 16)",1398,27
9224385,"In dictionary, converting the value from string to integer",convert values in dictionary `d` into integers,"{k: int(v) for k, v in d.items()}",1399,27
9236926,Concatenating two one-dimensional NumPy arrays,Concatenating two one-dimensional NumPy arrays 'a' and 'b'.,"numpy.concatenate([a, b])",1400,27
9257094,change a string into uppercase,change string `s` to upper case,s.upper(),1401,27
9262278,Django view returning json without using template,Django response with JSON `data`,"return HttpResponse(data, mimetype='application/json')",1402,27
9304408,How to add an integer to each element in a list?,Add 1 to each integer value in list `my_list`,new_list = [(x + 1) for x in my_list],1403,27
9304908,django filter with list of values,"create a django query for a list of values `1, 4, 7`","Blog.objects.filter(pk__in=[1, 4, 7])",1404,27
9323159,finding n largest differences between two lists,find 10 largest differences between each respective elements of list `l1` and list `l2`,"heapq.nlargest(10, range(len(l1)), key=lambda i: abs(l1[i] - l2[i]))",1405,27
9323749,Python: Check if one dictionary is a subset of another larger dictionary,check if dictionary `subset` is a subset of dictionary `superset`,all(item in list(superset.items()) for item in list(subset.items())),1406,27
9336270,Using a Python dict for a SQL INSERT statement,Execute SQL statement `sql` with values of dictionary `myDict` as parameters,"cursor.execute(sql, list(myDict.values()))",1407,27
9339630,Unescaping escaped characters in a string using Python 3.2,encode string `s` to utf-8 code,s.encode('utf8'),1408,27
9354127,How to grab one random item from a database in Django/postgreSQL?,grab one random item from a database `model` in django/postgresql,model.objects.all().order_by('?')[0],1409,27
9376384,Sort a list of tuples depending on two elements,"sort a list of tuples 'unsorted' based on two elements, second and third","sorted(unsorted, key=lambda element: (element[1], element[2]))",1410,27
9396706,How can I use a string with the same name of an object in Python to access the object itself?,get the attribute `x` from object `your_obj`,"getattr(your_obj, x)",1411,27
9402255,Drawing a huge graph with networkX and matplotlib,save current figure to file 'graph.png' with resolution of 1000 dpi,"plt.savefig('graph.png', dpi=1000)",1412,27
9427163,Remove duplicate dict in list in Python,remove duplicate dict in list `l`,[dict(t) for t in set([tuple(d.items()) for d in l])],1413,27
9466017,Sorting files in a list,sort list `files` based on variable `file_number`,files.sort(key=file_number),1414,27
9470142,Remove string between 2 characters from text string,remove all square brackets from string 'abcd[e]yth[ac]ytwec',"re.sub('\\[.*?\\]', '', 'abcd[e]yth[ac]ytwec')",1415,27
9495262,create dictionary from list of variables,create dictionary from list of variables 'foo' and 'bar' already defined,"dict((k, globals()[k]) for k in ('foo', 'bar'))",1416,27
9497290,How would I sum a multi-dimensional array in the most succinct python?,"sum all elements of two-dimensions list `[[1, 2, 3, 4], [2, 4, 5, 6]]]`","sum([sum(x) for x in [[1, 2, 3, 4], [2, 4, 5, 6]]])",1417,27
9505526,Split string into strings of repeating elements,split string `s` into strings of repeating elements,"print([a for a, b in re.findall('((\\w)\\2*)', s)])",1418,27
9507819,Can I have a non-greedy regex with dotall?,match regex pattern 'a*?bc*?' on string 'aabcc' with DOTALL enabled,"re.findall('a*?bc*?', 'aabcc', re.DOTALL)",1419,27
9534608,get path from a module name,get complete path of a module named `os`,imp.find_module('os')[1],1420,27
9542738,Python: Find in list,"check if 3 is inside list `[1, 2, 3]`","3 in [1, 2, 3]",1421,27
9550867,Python Pandas Pivot Table,produce a pivot table as dataframe using column 'Y' in datafram `df` to form the axes of the resulting dataframe,"df.pivot_table('Y', rows='X', cols='X2')",1422,27
9554544,"Python, running command line tools in parallel",subprocess run command 'start command -flags arguments' through the shell,"subprocess.call('start command -flags arguments', shell=True)",1423,27
9554544,"Python, running command line tools in parallel",run command 'command -flags arguments &' on command line tools as separate processes,"subprocess.call('command -flags arguments &', shell=True)",1424,27
9560207,How to count values in a certain range in a Numpy array?,get count of values in numpy array `a` that are between values `25` and `100`,((25 < a) & (a < 100)).sum(),1425,27
9561243,How to check if something exists in a postgresql database using django?,Django check if an object with criteria `name` equal to 'name' and criteria `title` equal to 'title' exists in model `Entry`,"Entry.objects.filter(name='name', title='title').exists()",1426,27
9573244,check if the string is empty,check if string `my_string` is empty,"if some_string:
    pass",1427,27
9573244,Most elegant way to check if the string is empty,check if string `my_string` is empty,"if (not my_string):
    pass",1428,27
9573244,Most elegant way to check if the string is empty,check if string `some_string` is empty,"if (not some_string):
    pass",1429,27
9573244,check if the string is empty,check if the string `myString` is empty,"if (not myString):
    pass",1430,27
9590965,Convert an IP string to a number and vice versa,convert a number 2130706433 to ip string,"socket.inet_ntoa(struct.pack('!L', 2130706433))",1431,27
