question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
172439,How do I split a multi-line string into multiple lines?,split a multi-line string `inputString` into separate strings,inputString.split('\n'),77,0,8,0,0,15,0,30,0
209513,Convert hex string to int,Convert hex string `hexString` to int,"int(hexString, 16)",93,0,5,35,0,43,0,30,0
227459,"get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""nofollow noreferrer"">ASCII</a> value of a character as an int",get the ASCII value of a character 'a' as an int,ord('a'),98,0,5,42,0,22,0,30,0
300445,How to unquote a urlencoded unicode string in python?,decode url `url` from UTF-16 code to UTF-8 code,urllib.parse.unquote(url).decode('utf8'),134,0,8,29,0,63,0,30,0
356483,Python regex findall numbers and dots,Find all numbers and dots from a string `text` using regex,"re.findall('Test([0-9.]*[0-9]+)', text)",154,0,0,20,0,64,0,30,0
613183,Sort a Python dictionary by value,Sort dictionary `d` by value in descending order,"sorted(d, key=d.get, reverse=True)",246,0,1,50,0,58,0,30,0
761804,Trimming a string,"Trimming a string "" Hello """,' Hello '.strip(),318,0,8,0,0,21,0,30,0
845058,get line count,get line count of file 'myfile.txt',sum((1 for line in open('myfile.txt'))),343,0,9,34,1,4,0,30,0
931092,Reverse a string,Reverse a string `a_string`,"def reversed_string(a_string):
    return a_string[::(-1)]",368,0,8,0,0,37,0,30,0
1059559,Split Strings with Multiple Delimiters?,"split string ""a;bcd,ef g"" on delimiters ';' and ','","""""""a;bcd,ef g"""""".replace(';', ' ').replace(',', ' ').split()",410,1,8,0,0,33,0,30,0
1592158,Convert hex to float,convert hex string '470FC614' to a float number,"struct.unpack('!f', '470FC614'.decode('hex'))[0]",477,3,5,11,0,34,0,30,0
2878084,Sort a list of dicts by dict values,sort a list of dictionary `mylist` by the key `title`,mylist.sort(key=lambda x: x['title']),678,8,1,24,0,5,0,30,0
3328012,How can I tell if a file is a descendant of a given directory?,check if file `filename` is descendant of directory '/the/dir/',"os.path.commonprefix(['/the/dir/', os.path.realpath(filename)]) == '/the/dir/'",747,10,9,62,1,62,0,30,0
