question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
804995,How to use subprocess when multiple arguments contain spaces?,Call a subprocess with arguments `c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat` that may contain spaces,subprocess.Popen(['c:\\Program Files\\VMware\\VMware Server\\vmware-cmd.bat']),330,0,9,12,1,19,0,43,0
1082413,Sort a list of strings based on regular expression match or something similar,sort a list of strings `strings` based on regex match,"strings.sort(key=lambda str: re.sub('.*%', '', str))",412,1,0,13,0,23,0,43,0
1546226,A simple way to remove multiple spaces in a string in Python,remove multiple spaces in a string `foo`,""""""" """""".join(foo.split())",470,3,8,0,0,20,0,43,0
1555968,Efficient way to find the largest key in a dictionary with non-zero value,get the largest key in a dictionary `x` with non-zero value,"max(k for k, v in x.items() if v != 0)",474,3,1,5,0,29,0,43,0
3262437,Finding missing values in a numpy array,get the non-masked values of array `m`,m[~m.mask],724,9,6,50,0,21,0,43,0
3437059,string contains substring method,"check if string `s` contains ""is""","if (s.find('is') == (-1)):
    print(""No 'is' here!"")
else:
    print(""Found 'is' in the string."")",764,10,0,6,0,9,0,43,0
4928274,Iterate through PyMongo Cursor as key-value pair,get a dictionary `records` of key-value pairs in PyMongo cursor `cursor`,"records = dict((record['_id'], record) for record in cursor)",1018,17,1,6,0,37,0,43,0
5826427,Can a python script execute a function inside a bash script?,Can a python script execute a function inside a bash script?,"subprocess.Popen(['bash', '-c', '. foo.sh; go'])",1092,19,4,14,1,11,1,43,0
5843518,"Remove all special characters, punctuation and spaces from string","remove all special characters, punctuation and spaces from a string `mystring` using regex","re.sub('[^A-Za-z0-9]+', '', mystring)",1095,19,8,0,0,31,0,43,0
5900683,Using variables in Python regular expression,regular expression for validating string 'user' containing a sequence of characters ending with '-' followed by any number of digits.,re.compile('{}-\\d*'.format(user)),1108,19,0,24,0,36,0,43,0
