question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
72899,How do I sort a list of dictionaries by values of the dictionary in Python?,sort a list of dictionaries `l` by values in key `name` in descending order,"newlist = sorted(l, key=itemgetter('name'), reverse=True)",40,0,1,40,0,37,0,35,0
265960,Best way to strip punctuation from a string in Python,Strip punctuation from string `s`,"s.translate(None, string.punctuation)",115,0,8,0,0,24,0,35,0
307305,Play a Sound with Python,play the wav file 'sound.wav',"winsound.PlaySound('sound.wav', winsound.SND_FILENAME)",137,0,9,15,1,24,0,35,0
940822,"Regular expression syntax for ""match nothing""?",regular expression syntax for not to match anything,re.compile('.\\A|.\\A*|.\\A+'),375,0,0,5,0,21,0,35,0
943809,String manipulation in Cython,replace occurrences of two whitespaces or more with one whitespace ' ' in string `s`,"re.sub(' +', ' ', s)",378,0,8,0,0,44,0,35,0
1773805,parse a YAML file,"parse a YAML file ""example.yaml""","with open('example.yaml', 'r') as stream:
    try:
        print((yaml.load(stream)))
    except yaml.YAMLError as exc:
        print(exc)",502,4,9,25,1,53,0,35,0
2631935,SQLAlchemy: a better way for update with declarative?,Update a user's name as `Bob Marley` having id `123` in SQLAlchemy,session.query(User).filter_by(id=123).update({'name': 'Bob Marley'}),639,7,4,53,1,28,1,35,0
3518778,read csv into record array in numpy,read csv file 'myfile.csv' into array,"np.genfromtxt('myfile.csv', delimiter=',')",783,11,6,20,0,36,0,35,0
3939361,Remove specific characters from a string,"Remove string ""1"" from string `string`","string.replace('1', '')",849,13,8,0,0,42,0,35,0
4112265,How to zip lists in a list,"zip lists `[1, 2], [3, 4], [5, 6]` in a list","zip(*[[1, 2], [3, 4], [5, 6]])",879,13,7,61,1,4,0,35,0
4116061,Importing everything ( * ) dynamically from a module,import all classes from module `some.package`,globals().update(importlib.import_module('some.package').__dict__),880,13,4,15,1,12,1,35,0
