question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
19339,inverse of zip,"unzip list `[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e', )]` and fill empty results with None","map(None, *[('a', 1), ('b', 2), ('c', 3), ('d', 4), ('e',)])",11,0,7,64,1,63,0,48,0
518021,Getting the length of an array,Getting the length of array `l`,len(l),223,0,6,37,0,57,0,48,0
678236,How to get the filename without the extension from a path in Python?,get the filename without the extension from file 'hemanth.txt',print(os.path.splitext(os.path.basename('hemanth.txt'))[0]),289,0,9,24,1,18,0,48,0
761804,Trimming a string,"Trimming a string ""Bob has a cat""",'Bob has a cat'.strip(),311,0,8,0,0,15,0,48,0
817122,Delete digits in Python (Regex),delete all digits in string `s` that are not directly attached to a word character,"re.sub('$\\d+\\W+|\\b\\d+\\b|\\W+\\d+$', '', s)",332,0,8,0,0,50,0,48,0
902761,Saving a Numpy array as an image,save a numpy array `image_array` as an image 'outfile.jpg',"scipy.misc.imsave('outfile.jpg', image_array)",358,0,6,8,0,53,0,48,0
1024847,Add key to a dictionary,Add key 'a' to dictionary `data` with value 1,data.update(dict(a=1)),399,1,1,5,0,39,0,48,0
1217251,Python: sorting a dictionary of lists,sort dictionary of lists `myDict` by the third item in each list,"sorted(list(myDict.items()), key=lambda e: e[1][2])",432,2,1,39,0,21,0,48,0
1580270,What's the best way to search for a Python dictionary value in a list of dictionaries?,What's the best way to search for a Python dictionary value in a list of dictionaries?,any(d['site'] == 'Superuser' for d in data),476,3,1,40,0,16,0,48,0
2668909,How to find the real user home directory using python?,find the real user home directory using python,os.path.expanduser('~user'),643,7,4,34,1,12,1,48,0
2674391,Python - Locating the position of a regex match in a string?,Get the position of a regex match for word `is` in a string `String`,"re.search('\\bis\\b', String).start()",644,7,0,49,0,16,0,48,0
3277503,read a file line by line into a list,"read file ""file.txt"" line by line into a list `array`","with open('file.txt', 'r') as ins:
    array = []
    for line in ins:
        array.append(line)",730,10,9,40,1,22,0,48,0
