question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
237079,get file creation & modification date/times in,get the creation time of file `file`,print(('created: %s' % time.ctime(os.path.getctime(file)))),106,0,9,37,1,6,0,37,0
275018,remove (chomp) a newline,remove newline in string `s`,s.strip(),124,0,8,0,0,14,0,37,0
354038,check if a string is a number,function to check if a string is a number,isdigit(),150,0,0,13,0,61,0,37,0
464736,Python regular expressions - how to capture multiple groups from a wildcard expression?,split string 'abcdefg' into a list of characters,"re.findall('\\w', 'abcdefg')",207,0,8,0,0,6,0,37,0
610883,know if an object has an attribute,get the value of attribute 'property' of object `a` with default value 'default value',"getattr(a, 'property', 'default value')",243,0,4,44,1,27,1,37,0
610883,know if an object has an attribute,check if object `a` has property 'property',"if hasattr(a, 'property'):
    pass",245,0,4,56,1,11,1,37,0
652291,sorting a list of dictionary values by date in python,sort a list of dictionary values by 'date' in reverse order,"list.sort(key=lambda item: item['date'], reverse=True)",262,0,1,47,0,30,0,37,0
674764,string find,find the index of sub string 's' in string `str` starting from index 11 and ending at index 14,"str.find('s', 11, 14)",282,0,0,60,0,60,0,37,0
1027714,How to execute a file within the python interpreter?,execute file 'filename.py',"exec(compile(open('filename.py').read(), 'filename.py', 'exec'))",403,1,9,61,1,61,0,37,0
2173797,how to sort 2d array by row in python?,sort 2d array `matrix` by row with index 1,"sorted(matrix, key=itemgetter(1))",566,5,6,53,0,20,0,37,0
2655956,filtering elements from list of lists in Python?,create a list containing elements of list `a` if the sum of the element is greater than 10,[item for item in a if sum(item) > 10],642,7,7,49,1,36,0,37,0
3061761,Numpy array dimensions,get the dimensions of numpy array `a`,a.shape,701,9,6,30,0,9,0,37,0
3411025,Summarizing a dictionary of arrays in Python,sort dictionary `mydict` in descending order based on the sum of each value in it,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]",758,10,1,44,0,36,0,37,0
3855093,"How to make a Python string out of non-ascii ""bytes""",convert list `myintegers` into a unicode string,""""""""""""".join(chr(i) for i in myintegers)",825,12,5,0,0,22,0,37,0
4484690,How to filter a dictionary in Python?,Filter a dictionary `d` to remove keys with value None and replace other values with 'updated',"dict((k, 'updated') for k, v in d.items() if v is None)",939,15,1,10,0,19,0,37,0
5137497,Find current directory and file's directory,get the directory name of `path`,os.path.dirname(path),1040,17,9,32,1,14,0,37,0
7732125,Clear text from textarea with selenium,clear text from textarea 'foo' with selenium,driver.find_element_by_id('foo').clear(),1253,23,4,40,1,27,1,37,0
8172861,Python Regex replace,Replace comma with dot in a string `original_string` using regex,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)",1288,24,8,0,0,51,0,37,0
8383213,Python Regex for hyphenated words,python regex for hyphenated words in `text`,"re.findall('\\w+(?:-\\w+)+', text)",1325,25,0,55,0,42,0,37,0
8586738,Get required fields from Document in mongoengine?,Get a list of all fields in class `User` that are marked `required`,"[k for k, v in User._fields.items() if v.required]",1342,25,4,29,1,27,1,37,0
9534608,get path from a module name,get complete path of a module named `os`,imp.find_module('os')[1],1420,27,9,41,1,33,0,37,0
10525301,String encoding and decoding from possibly latin1 and utf8,Normalize string `str` from 'cp1252' code to 'utf-8' code,print(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8')),1497,29,8,0,0,57,0,37,0
11205386,Python: BeautifulSoup - get an attribute value based on the name attribute,BeautifulSoup get value associated with attribute 'content' where attribute 'name' is equal to 'City' in tag 'meta' in HTML parsed string `soup`,"soup.find('meta', {'name': 'City'})['content']",1551,31,4,41,1,28,1,37,0
11269575,How to hide output of subprocess in Python 2.7,"hide output of subprocess `['espeak', text]`","subprocess.check_output(['espeak', text], stderr=subprocess.STDOUT)",1556,31,4,40,1,28,1,37,0
