question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
209513,Convert hex string to int,"Convert hex string ""a"" to integer","int('a', 16)",91,0,5,25,0,30,0,28,0
275018,remove (chomp) a newline,remove newline in string 'Unix EOL\n' on the right side,'Unix EOL\n'.rstrip('\r\n'),122,0,8,0,0,17,0,28,0
275018,remove (chomp) a newline,remove trailing newline in string 'test string \n\n','test string \n\n'.rstrip('\n'),125,0,8,0,0,59,0,28,0
849674,Simple threading in Python 2.6 using thread.start_new_thread(),start a new thread for `myfunction` with parameters 'MyStringHere' and 1,"thread.start_new_thread(myfunction, ('MyStringHere', 1))",345,0,4,58,1,10,1,28,0
930865,how to sort by a computed value in django,sort objects in model `Profile` based on Theirs `reputation` attribute,"sorted(Profile.objects.all(), key=lambda p: p.reputation)",366,0,4,34,1,45,1,28,0
973473,Getting a list of all subdirectories in the current directory,getting a list of all subdirectories in the directory `directory`,os.walk(directory),388,1,9,31,1,48,0,28,0
1720421,concatenate lists,iterate items in lists `listone` and `listtwo`,"for item in itertools.chain(listone, listtwo):
    pass",493,3,7,43,1,17,0,28,0
1957273,"How do I generate a random string (of length X, a-z only) in Python?",generate a random string of length `x`  containing lower cased ASCII letters,""""""""""""".join(random.choice(string.lowercase) for x in range(X))",529,4,8,0,0,62,0,28,0
2051744,Reverse Y-Axis in PyPlot,reverse all x-axis points in pyplot,plt.gca().invert_xaxis(),537,5,4,62,1,47,1,28,0
2597099,Sorting numbers in string format with Python,Sort a list of integers `keys` where each value is in string format,keys.sort(key=lambda x: [int(y) for y in x.split('.')]),621,7,1,32,0,35,0,28,0
2847272,"Python string formatting when string contains ""%s"" without escaping","replace fields delimited by braces {} in string ""Day old bread, 50% sale {0}"" with string 'today'","""""""Day old bread, 50% sale {0}"""""".format('today')",673,8,8,0,0,5,0,28,0
3296499,Case insensitive dictionary search with Python,convert keys in dictionary `thedict` into case insensitive,theset = set(k.lower() for k in thedict),744,10,1,3,0,17,0,28,0
3518778,read csv into record array,read csv file 'myfile.csv' into array,"np.genfromtxt('myfile.csv', delimiter=',', dtype=None)",785,11,6,11,0,35,0,28,0
4270742,How to remove whitespace in BeautifulSoup,remove newlines and whitespace from string `yourstring`,"re.sub('[\\ \\n]{2,}', '', yourstring)",905,14,8,0,0,18,0,28,0
5255657,How can I disable logging while running unit tests in Python Django?,disable logging while running unit tests in python django,logging.disable(logging.CRITICAL),1052,18,4,57,1,27,1,28,0
7571635,check if a value exist in a list,check if 7 is in `a`,(7 in a),1243,23,0,5,0,13,0,28,0
9554544,"Python, running command line tools in parallel",subprocess run command 'start command -flags arguments' through the shell,"subprocess.call('start command -flags arguments', shell=True)",1423,27,9,58,1,19,0,28,0
10857924,Remove NULL columns in a dataframe Pandas?,remove null columns in a dataframe `df`,"df = df.dropna(axis=1, how='all')",1528,30,3,14,0,6,0,28,0
11066400,Remove punctuation from Unicode formatted strings,substitute occurrences of unicode regex pattern u'\\p{P}+' with empty string '' in string `text`,"return re.sub('\\p{P}+', '', text)",1545,30,8,15,0,35,0,28,0
13093727,How to replace unicode characters in string with something else python?,replace unicode characters ''\u2022' in string 'str' with '*',"str.decode('utf-8').replace('\u2022', '*')",1700,34,8,11,0,42,0,28,0
