question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
1476,express binary literals,convert binary string '01010101111' to integer,"int('01010101111', 2)",4,0,5,51,0,51,0,51,0
1854,What OS am I running on,get the name of the OS,print(os.name),8,0,4,51,1,45,1,51,0
22676,download a file over HTTP,download a file 'http://www.example.com/' over HTTP,"response = urllib.request.urlopen('http://www.example.com/')
html = response.read()",17,0,9,62,1,57,0,51,0
1015142,Running Python code contained in a string,"run the code contained in string ""print('Hello')""","eval(""print('Hello')"")",398,1,8,0,0,14,0,51,0
1024847,Add key to a dictionary,Add key 'a' to dictionary `data` with value 1,"data.update({'a': 1, })",400,1,1,29,0,24,0,51,0
1064335,"In Python 2.5, how do I kill a subprocess?",kill a process with id `process.pid`,"os.kill(process.pid, signal.SIGKILL)",411,1,4,61,1,11,1,51,0
1196074,How to start a background process in Python?,run shell command 'rm -r some.file' in the background,"subprocess.Popen(['rm', '-r', 'some.file'])",428,2,9,34,1,32,0,51,0
1246444,convert string to dict using list comprehension in python,convert string `x'  to dictionary splitted by `=` using list comprehension,dict([x.split('=') for x in s.split()]),434,2,1,9,0,38,0,51,0
1303243,find out if a Python object is a string,check if object `o` is a string,(type(o) is str),442,2,0,24,0,51,0,51,0
1348026,How do I create a file in python without overwriting an existing file,create file 'x' if file 'x' does not exist,"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)",445,2,9,30,1,49,0,51,0
2597932,"how to change [1,2,3,4] to '1234' using python","join list of numbers `[1,2,3,4] ` to string of numbers.",""""""""""""".join([1, 2, 3, 4])",624,7,7,21,1,1,0,51,0
3559559,How to delete a character from a string using python?,How to delete a character from a string using python?,"newstr = oldstr.replace('M', '')",791,11,8,45,0,30,0,51,0
4233476,Sort a list by multiple attributes?,sort a list of lists `s` by second and third element in each list.,"s.sort(key=operator.itemgetter(1, 2))",901,14,7,64,1,5,0,51,0
4906977,Access environment variables,get value of the environment variable 'HOME' with default value '/home/username/',"print(os.environ.get('HOME', '/home/username/'))",1013,17,4,33,1,46,1,51,0
4940032,Search for string in txt file,Search for string 'blabla' in txt file 'example.txt',"if ('blabla' in open('example.txt').read()):
    pass",1023,17,0,7,0,29,0,51,0
5555063,Unescaping Characters in a String with Python,un-escaping characters in a string with python,"""""""\\u003Cp\\u003E"""""".decode('unicode-escape')",1076,18,8,35,0,34,0,51,0
