question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
163542,pass a string into subprocess.Popen,set the stdin of the process 'grep f' to be b'one\ntwo\nthree\nfour\nfive\nsix\n',"p = Popen(['grep', 'f'], stdout=PIPE, stdin=PIPE, stderr=STDOUT)
grep_stdout = p.communicate(input='one\ntwo\nthree\nfour\nfive\nsix\n')[0]",76,0,9,41,1,38,0,2,0
300445,How to unquote a urlencoded unicode string in python?,unquote a urlencoded unicode string '%0a',urllib.parse.unquote('%0a'),133,0,8,37,0,34,0,2,0
367155,Splitting a string into words and punctuation,split a unicode string `text` into a list of words and punctuation characters with a regex,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)",168,0,8,0,0,37,0,2,0
663171,substring a string,get a new string with the 3rd to the second-to-last characters of string `x`,x[2:(-2)],265,0,8,0,0,43,0,2,0
677656,How to extract from a list of objects a list of specific attribute?,extract attribute `my_attr` from each object in list `my_list`,[o.my_attr for o in my_list],288,0,7,34,1,36,0,2,0
931092,Reverse a string,"Reverse a string ""foo""",'foo'[::(-1)],370,0,8,0,0,58,0,2,0
1038824,remove a substring from the end of a string,remove a substring `suffix` from the end of string `text`,"if (not text.endswith(suffix)):
    return text
return text[:(len(text) - len(suffix))]",405,1,8,0,0,15,0,2,0
1093322,check what version of Python is running,check python version,sys.version_info,415,1,4,36,1,27,1,2,0
1185524,trim whitespace (including tabs),trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r'),424,2,8,0,0,20,0,2,0
2229827,Django urlsafe base64 decoding with decryption,django urlsafe base64 decode string `uenc` with decryption,base64.urlsafe_b64decode(uenc.encode('ascii')),575,6,4,58,1,46,1,2,0
2407398,merge lists into a list of tuples,merge lists `list_a` and `list_b` into a list of tuples,"zip(list_a, list_b)",599,6,7,19,1,18,0,2,0
3457673,"Elegant way to create a dictionary of pairs, from a list of tuples?",create a dictionary of pairs from a list of tuples `myListOfTuples`,dict(x[1:] for x in reversed(myListOfTuples)),767,10,1,22,0,17,0,2,0
3559559,How to delete a character from a string using python?,"Delete character ""M"" from a string `s` using python","s = s.replace('M', '')",790,11,8,0,0,2,0,2,0
3895874,"Regex to match 'lol' to 'lolllll' and 'omg' to 'omggg', etc",Write a regex statement to match 'lol' to 'lolllll'.,"re.sub('l+', 'l', 'lollll')",835,12,0,24,0,42,0,2,0
