question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
1476,express binary literals,convert binary string '010101' to integer,"int('010101', 2)",3,0,5,50,0,50,0,50,0
199059,I'm looking for a pythonic way to insert a space before capital letters,insert spaces before capital letters in string `text`,"re.sub('([a-z](?=[A-Z])|[A-Z](?=[A-Z][a-z]))', '\\1 ', text)",86,0,8,0,0,3,0,50,0
663171,substring a string,select a substring of `s` beginning at `beginning` of length `LENGTH`,s = s[beginning:(beginning + LENGTH)],268,0,0,8,0,8,0,50,0
748028,How to get output of exe in python script?,get output from process `p1`,p1.communicate()[0],306,0,4,57,1,28,1,50,0
899103,Writing a list to a file with Python,writing items in list `thelist` to file `thefile`,"for item in thelist:
    pass",351,0,9,43,1,40,0,50,0
1093322,check what version of Python is running,check python version,sys.version,414,1,4,62,1,28,1,50,0
1303243,find out if a Python object is a string,check if `obj_to_test` is a string,"isinstance(obj_to_test, str)",444,2,0,52,0,61,0,50,0
3464359,Is it possible to wrap the text of xticks in matplotlib in python?,rotate the xtick labels of matplotlib plot `ax` by `45` degrees to make long labels readable,"ax.set_xticklabels(labels, rotation=45)",769,11,4,30,1,11,1,50,0
4127344,Transforming the string representation of a dictionary into a real dictionary,transforming the string `s` into dictionary,"dict(map(int, x.split(':')) for x in s.split(','))",882,13,8,0,0,53,0,50,0
4928526,"python, format string","python, format string ""{} %s {}"" to have 'foo' and 'bar' in the first and second positions","""""""{} %s {}"""""".format('foo', 'bar')",1019,17,8,0,0,50,0,50,0
5137497,Find current directory and file's directory,find the current directory,os.path.realpath(__file__),1041,17,9,17,1,15,0,50,0
5254445,Add string in a certain position in Python,add string `-` in `4th` position of a string `s`,s[:4] + '-' + s[4:],1051,18,8,0,0,35,0,50,0
6416131,add new item to dictionary,"add key value pairs 'item4' , 4 and 'item5' , 5 to dictionary `default_data`","default_data.update({'item4': 4, 'item5': 5, })",1145,20,1,12,0,51,0,50,0
6740865,Convert Unicode to UTF-8 Python,print a unicode string `text`,print(text.encode('windows-1252')),1176,21,8,0,0,2,0,50,0
6764909,Python: How to remove all duplicate items from a list,remove all duplicate items from a list `lseperatedOrblist`,woduplicates = list(set(lseperatedOrblist)),1177,21,7,39,1,61,0,50,0
7900882,extract item from list of dictionaries,extract dictionary `d` from list `a` where the value associated with the key 'name' of dictionary `d` is equal to 'pluto',[d for d in a if d['name'] == 'pluto'],1266,23,1,51,0,15,0,50,0
8134602,psycopg2: insert multiple rows with one query,"execute sql query 'INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)' with all parameters in list `tup`","cur.executemany('INSERT INTO table VALUES(%s,%s,%s,%s,%s,%s,%s,%s,%s)', tup)",1283,24,7,14,1,59,0,50,0
8218032,How to turn a boolean array into index array in numpy,Get all indexes of boolean numpy array where boolean value `mask` is True,numpy.where(mask),1302,24,6,0,0,23,0,50,0
8751653,How can I convert a binary to a float number,convert string representation `s2` of binary string rep of integer to floating point number,"struct.unpack('d', struct.pack('Q', int(s2, 0)))[0]",1359,26,5,35,0,39,0,50,0
10697757,Python regular expression split() string,Split a string `s` by space with `4` splits,"s.split(' ', 4)",1520,30,8,0,0,50,0,50,0
10973614,Convert JSON array to Python list,Convert JSON array `array` to Python object,data = json.loads(array),1535,30,6,30,0,1,0,50,0
11073609,How to group DataFrame by a period of time?,group dataframe `df` based on minute interval,df.groupby(df.index.map(lambda t: t.minute)),1547,30,3,38,0,39,0,50,0
11280536,How can I add the corresponding elements of several lists of numbers?,sum elements at the same index of each list in list `lists`,"map(sum, zip(*lists))",1558,31,7,60,1,39,0,50,0
12440342,Best way to get the nth element of each tuple from a list of tuples in Python,get the first element of each tuple from a list of tuples `G`,[x[0] for x in G],1649,33,7,31,1,61,0,50,0
13837848,Converting byte string in unicode string,converting byte string `c` in unicode string,c.decode('unicode_escape'),1779,36,8,0,0,52,0,50,0
14332141,Dumping subprcess output in a file in append mode,Move the cursor of file pointer `fh1` at the end of the file.,fh1.seek(2),1825,38,9,62,1,57,0,50,0
15571267,Python: A4 size for a plot,"set size of `figure` to landscape A4 i.e. `11.69, 8.27` inches","figure(figsize=(11.69, 8.27))",1935,40,4,61,1,25,1,50,0
18358938,Get index values of Pandas DataFrame as list?,get index values of pandas dataframe `df` as list,df.index.values.tolist(),2123,45,3,5,0,57,0,50,0
19863964,fastest way to find the magnitude (length) squared of a vector field,find the magnitude (length) squared of a vector `vf` field,"np.einsum('...j,...j->...', vf, vf)",2228,48,4,61,1,48,1,50,0
30190459,How to gracefully fallback to `NaN` value while reading integers from a CSV with Pandas?,read CSV file 'my.csv' into a dataframe `df` with datatype of float for column 'my_column' considering character 'n/a' as NaN value,"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])",2545,56,3,43,0,13,0,50,0
31617845,"How to select rows in a DataFrame between two values, in Python Pandas?",select rows in a dataframe `df` column 'closing_price' between two values 99 and 101,df = df[(df['closing_price'] >= 99) & (df['closing_price'] <= 101)],2587,57,3,47,0,36,0,50,0
32296933,removing duplicates of a list of sets,remove duplicates from a list of sets 'L',[set(item) for item in set(frozenset(item) for item in L)],2620,58,7,19,1,56,0,50,0
34410358,Splitting a string based on a certain set of words,split string 'happy_hats_for_cats' using string '_for_',"re.split('_for_', 'happy_hats_for_cats')",2663,59,8,0,0,55,0,50,0
35097130,Django order by highest number of likes,sort objects in `Articles` in descending order of counts of `likes`,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count'),2686,60,7,44,1,44,0,50,0
35269374,get count of values associated with key in dict python,get the sum of values associated with the key ‘success’ for a list of dictionaries `s`,sum(d['success'] for d in s),2691,60,1,37,0,40,0,50,0
38152389,Coalesce values from 2 columns into a single column in a pandas dataframe,combine values from column 'b' and column 'a' of dataframe `df`  into column 'c' of datafram `df`,"df['c'] = np.where(df['a'].isnull, df['b'], df['a'])",2736,61,3,9,0,52,0,50,0
40851413,MITM proxy over SSL hangs on wrap_socket with client,send data 'HTTP/1.0 200 OK\r\n\r\n' to socket `connection`,connection.send('HTTP/1.0 200 OK\r\n\r\n'),2816,63,4,23,1,10,1,50,0
41894454,How to custom sort an alphanumeric list?,custom sort an alphanumeric list `l`,"sorted(l, key=lambda x: x.replace('0', 'Z'))",2851,64,7,50,1,49,0,50,0
42100344,How to convert efficiently a dataframe column of string type into datetime in Python?,"convert a dataframe `df`'s column `ID` into datetime, after removing the first and last 3 letters",pd.to_datetime(df.ID.str[1:-3]),2859,64,3,46,0,34,0,50,0
