input_sequence,output_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
"round(4.0005, 3)",round number 4.0005 up to 3 decimal places,round 4.0005 to be an integer,Round to nearest second,0.5,0.30769230769230765,0
d['mynewkey'] = 'mynewvalue',"Add key ""mynewkey"" to dictionary `d` with value ""mynewvalue""",add an item with key'mysewkey' to a dictionary `d`,mynewkey = mynewvalue,0.631578947368421,0.3636363636363636,0
datetime.utcnow(),get current utc time,get UTC datetime in the UTC time zone,Returns the current datetime.,0.5,0.25,0
"struct.unpack('!f', '470FC614'.decode('hex'))[0]",convert hex string '470FC614' to a float number,convert a string `470FC614` to floating point number,unpacks float to unsigned int,0.75,0.3076923076923077,0
"df['BrandName'] = df['BrandName'].replace(['ABC', 'AB'], 'A')","replace values `['ABC', 'AB']` in a column 'BrandName' of  pandas dataframe `df` with another value 'A'",replace value of column 'BrandName' with string '0000000' in dataframe `df`,Brand Name Dataframe,0.6666666666666666,0.10526315789473684,0
int(Decimal(s)),convert a string `s` containing a decimal to an integer,convert a string `s` to its base-10 representation,Convert a string to an integer.,0.5263157894736842,0.7499999999999999,0
"df.groupby('prots').sum().sort('scores', ascending=False)",How to sort a Dataframe by the ocurrences in a column in Python (pandas),Sort a pandas data frame by `prots` in ascending and `score`,Sort the scores by prots,0.4,0.3157894736842105,0
str(n) == str(n)[::-1],check if string `str` is palindrome,check if string `n` is equal to 1,Returns true if n is equal to or greater than n.,0.5714285714285715,0.23529411764705885,0
"len([1, 2, 3])","get the size of a list `[1,2,3]`","count the number of rows in list `[1, 2, 3]`",Returns the number of elements in the list.,0.631578947368421,0.35294117647058826,0
"requests.get(url, headers={'referer': my_referer})",request URL `url` using http header `{'referer': my_referer}`,request page 'url' with credentials of username ',Make a GET request to the given url,0.25,0.23529411764705882,0
"int(s, 16)",Convert hex string `s` to integer,convert hex string `s` to decimal,Convert a string to an int.,0.8333333333333334,0.5,0
"if (not myString):
    pass",check if the string `myString` is empty,"check if a given string `myString` is not empty, check if",if myString is empty return the empty string,0.6666666666666665,0.7999999999999999,0
"pd.concat((df1, df2), axis=1).mean(axis=1)",merge rows from dataframe `df1` with rows from dataframe `df2` and calculate the mean for rows that have the same value of axis 1,concatenate dataframe `df1` with `df2` whilst removing duplicates,concat df1 and df2,0.25,0.21428571428571427,0
"strings.sort(key=lambda str: re.sub('.*%', '', str))",sort a list of strings `strings` based on regex match,Sort a string `strings` using regex pattern,Sort strings by their priority.,0.47058823529411764,0.26666666666666666,0
"if (not my_string):
    pass",check if string `my_string` is empty,check if a given string `my_string` is a subset of dictionary `my_string,if not a string or a string is a string we assume it is a string,0.5714285714285714,0.34782608695652173,0
User.objects.order_by('-pet__age')[:10],Django get first 10 records of model `User` ordered by criteria 'age' of model 'pet',sort a user `User` by `pet` attribute in django model `User`,Returns all users with petted age ordered by age.,0.3846153846153846,0.25,0
int(round(x)),round number `x` to nearest integer,round number `x` to 100,Round to nearest integer.,0.7272727272727272,0.8,0
len(set(open(yourdictfile).read().split())),count the number of keys in dictionary `yourdictfile`,count the number of rows in a dictionary `yourdictfile`,Return the number of items in the dictionary.,0.823529411764706,0.625,0
df['date'].apply(lambda x: x.toordinal()),Convert  DateTime column 'date' of pandas dataframe 'df' to ordinal,convert dataframe `df` to int-type sparse object,Date. toordinal,0.4444444444444445,0.16666666666666669,0
ax.set_yscale('log'),plot logarithmic axes with matplotlib,set the y axis range to 'log' in matplotlib,Set the y - scale of the axis.,0.14285714285714285,0.0,0
"df['a'] = df['a'].str.replace('in.', ' in. ')",replace string 'in.' with ' in. ' in dataframe `df` column 'a',replace value '-' in column 'a' of dataframe `df` with empty string '' in column,a = > a,0.7826086956521738,0.16666666666666669,0
logging.getLogger().setLevel(logging.DEBUG),Change log level dynamically to 'DEBUG' without restarting the application,Log message 'Log message' on the root logger.,Set the logger level to debug.,0.22222222222222224,0.5,0
"plt.figure(figsize=(3, 4))",change figure size to 3 by 4 in matplotlib,"set size of `figure` to landscape A4 i.e. `3, 4",Make the figure available.,0.5,0.15384615384615383,0
[dict(t) for t in set([tuple(d.items()) for d in l])],remove duplicate dict in list `l`,create a list of dictionaries from list of dictionaries `my_list`,Returns a list of dictionaries.,0.11764705882352942,0.1818181818181818,0
"import imp
imp.reload(module)",reload a module `module`,import a module `module` with importlib.import_module in python,Reloads the module if it is an implemenation.,0.4285714285714285,0.16666666666666666,0
"newlist = sorted(l, key=itemgetter('name'), reverse=True)",sort a list of dictionaries `l` by values in key `name` in descending order,reverse sort list of dicts `l` by value for key `name`,sorts the list by name,0.56,0.3157894736842105,0
app.config['SECURITY_REGISTER_URL'] = '/create_account',change flask security register url to `/create_account`,Initialize the value in flask config with `create_url`,Set the URL for the security register page.,0.35294117647058826,0.375,0
app.run(debug=True),enable debug mode on Flask application `app`,run flask application `app` in debug mode.,Run the application.,0.7142857142857143,0.2,0
"int(hexString, 16)",Convert hex string `hexString` to int,convert hex string `hexString` to decimal,Convert a hex string to an int,0.8333333333333334,0.7692307692307692,0
str_list = [tuple('{0:.8e}'.format(flt) for flt in sublist) for sublist in lst],convert list `lst` of tuples of floats to list `str_list` of tuples of strings of floats in scientific notation with eight decimal point precision,create list `str_list` containing elements of list `str_list` whil,A list of strings.,0.2777777777777778,0.20689655172413793,0
"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]",sort dictionary `mydict` in descending order based on the sum of each value in it,Can I sort text by its numeric value in Python?,Returns an iterator over the keys in the dictionary sorted by key.,0.24,0.22222222222222224,0
"[key for item in lst for key, value in list(my_dict.items()) if item in value]",get list of keys in dictionary `my_dict` whose values contain values from list `lst`,Get all keys from a dictionary `lst` where the value is `1`,list of keys,0.3703703703703704,0.33333333333333337,0
driver.switch_to_frame('frameName'),selenium webdriver switch to frame 'frameName',switch to frame 'frameName' of selenium python webdriver,Switch to frame name,0.8571428571428571,0.6,0
"df.set_index(['d'], append=True)",add column `d` to index of dataframe `df`,append dataframe `df` to column 'd',Set the DataFrame index to the first column of the DataFrame.,0.7142857142857143,0.5263157894736842,0
"r = int(''.join(map(str, x)))",convert a list of integers into a single integer,convert hex string `x` to decimal,r = > r,0.13333333333333333,0.0,0
df.groupby('colour').size().plot(kind='bar'),plot categorical data in series `df` with kind `bar` using pandas and matplotlib,change the size of a pandas data frame `df` to 22,Plot the colour sizes of the DataFrame.,0.24999999999999994,0.1,0
"soup.find('meta', {'name': 'City'})['content']",BeautifulSoup get value associated with attribute 'content' where attribute 'name' is equal to 'City' in tag 'meta' in HTML parsed string `soup`,BeautifulSoup find a tag with attribute 'name' equal to 'City',Find city meta,0.5000000000000001,0.16,0
"data.update({'a': 1, })",Add key 'a' to dictionary `data` with value 1,update the dictionary `data` with dynamic keys `a` and values `b` and,Update the data object with a 1.,0.380952380952381,0.5,0
